,,Depth (cm),,,,,,,,,,,,,,,,,
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,0,13,11,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum,5,21,20,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermocrinis,5,8,15,0,7,4,7,0,0,0,0,0,0,0,0,0,6,0
,Thermocrinis albus,0,6,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
,Thermocrinis minervae,5,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
,Thermocrinis ruber,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,7,46,46,6,6,20,12,0,0,0,0,0,0,0,7,0,5,0
,Hydrogenothermaceae,3,0,3,4,9,1,3,8,0,0,0,0,0,0,0,0,0,0
,Persephonella,0,9,7,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1
,Persephonella marina,5,23,38,0,0,12,0,0,0,0,0,0,0,0,5,0,0,5
,Sulfurihydrogenibium,15,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5
,Sulfurihydrogenibium azorense,0,22,34,0,0,14,13,0,0,0,0,0,0,0,0,0,39,0
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,0,42,44,5,0,29,19,0,0,0,0,0,0,0,7,0,5,0
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,9,4,1,3,11,6,3,0,0,0,0,0,0,0,8,0,1,0
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacterium thermolithotrophum,0,24,30,0,0,13,10,0,0,0,0,0,0,0,0,0,31,0
,Thermovibrio,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Thermovibrio ammonificans,7,25,37,8,0,15,17,0,0,0,0,0,0,0,0,0,9,0
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum exile,0,36,34,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix abyssi,72,119,182,10,24,102,39,0,0,0,0,0,0,0,32,0,24,5
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,47,71,102,7,25,28,29,0,0,0,0,0,0,0,9,0,34,6
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter proteolyticus,0,17,21,6,0,15,5,0,0,0,0,0,0,0,8,0,0,0
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,0,0,4,2,2,0,3,0,0,0,0,0,0,0,1,0,1,0
,Deferribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteraceae,15,4,7,16,24,4,1,11,0,0,0,0,0,0,4,0,0,12
,Calditerrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditerrivibrio nitroreducens,0,45,45,0,6,34,9,0,0,0,0,0,0,0,6,0,15,0
,Deferribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacter desulfuricans,9,51,49,6,0,34,22,0,0,0,0,0,0,0,7,0,34,0
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denitrovibrio acetiphilus,15,26,55,0,6,25,22,0,0,0,0,0,0,0,0,0,11,0
,Flexistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flexistipes sinusarabici,18,49,71,5,0,30,8,0,0,0,0,0,0,0,12,0,19,0
,Geovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geovibrio thiophilus,13,42,41,0,8,22,14,0,0,0,0,0,0,0,0,0,23,0
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Deferribacteres bacterium,17,23,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,6,10,8,6,13,11,4,0,0,0,0,0,0,0,10,0,5,0
,Dictyoglomus thermophilum,0,17,29,5,0,15,8,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus turgidum,0,12,34,0,0,11,5,0,0,0,0,0,0,0,10,0,7,0
,Elusimicrobia,11,36,22,0,11,20,6,0,0,0,0,0,0,0,5,0,9,0
,Elusimicrobia <class>,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium minutum,0,18,25,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0
,Endomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endomicrobium trichonymphae,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,phylum Elusimicrobia>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Termite group 1 bacterium,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,superkingdom Bacteria>",938,1058,1118,130,399,751,474,120,32,0,0,0,0,0,355,9,441,102
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
,bacterium enrichment culture,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
,bacterium enrichment culture clone fosmid MGS-K1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,deep-sea autotrophic bacteria ensemble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured deep-sea autotrophic bacterium SBI-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,uncultured bacterium,3107,4605,5228,642,2298,8893,3876,880,208,0,0,0,0,0,3336,66,4706,566
,uncultured bacterium 1116,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 12AC_lac13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium 16A2,0,0,0,0,0,81,0,0,0,0,0,0,0,0,56,0,0,0
,uncultured bacterium 2303,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 293,0,8,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium 888,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0
,uncultured bacterium 98,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_160,0,0,0,0,0,23,0,0,0,0,0,0,0,0,18,0,0,0
,uncultured bacterium A1Q1_fos_1870,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1880,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_75,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD106-G5,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD12-A11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD12-C5,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,0
,uncultured bacterium AD12-E7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6
,uncultured bacterium AD235-B9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0
,uncultured bacterium AD243-H1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD249-B8,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD370-D1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD45-G12,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC03_F_03,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0
,uncultured bacterium ARCTIC09_G_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,uncultured bacterium ARCTIC21_A_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
,uncultured bacterium ARCTIC45_G_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
,uncultured bacterium BAC-L1N9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
,uncultured bacterium BAC10-4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC13K9BAC,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Bio7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BLR10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00004,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00009,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00017,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium contig00034,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00035,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00036,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00038,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium contig00043,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00044,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00047,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00048,0,0,0,0,0,42,0,0,0,0,0,0,0,0,18,0,0,0
,uncultured bacterium contig00049,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00055,0,5,5,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0
,uncultured bacterium contig00068,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00079,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00080,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00086,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00095,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00104,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00121,0,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0
,uncultured bacterium contig00125,0,13,6,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00129,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00131,5,0,0,0,0,18,0,0,0,0,0,0,0,0,7,0,0,0
,uncultured bacterium contig00141,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00146(2014),9,24,18,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00164,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00173,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00175,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00179,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00180,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00182,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00229,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00335,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00406(2014),0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00411(2014),0,23,30,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00510(2014),0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00528,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig07432(2014),0,20,93,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig08046(2014),0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig10083(2014),0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Contig1495,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Contig1759,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Contig3b,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Contigcl_1493,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium CSLF42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,uncultured bacterium ctg7180000000728,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium ctg7180000000734,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000736,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium ctg7180000000737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium ctg7180000000754,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
,uncultured bacterium ctg7180000000757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium ctg7180000000767,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000784,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000785,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000852,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000864,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000927,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000929,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000000948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium ctg7180000001022,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000001040,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000001094,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium esnapd10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium FLS18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium GRIST01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium HF0500_16O16,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium HF0770_45N15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium JM9_B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5
,uncultured bacterium KM3-23-D4,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium KM3-69-D9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0
,uncultured bacterium KM3-69-F5,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0
,uncultured bacterium lac84,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_05G23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_10K18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_11L23,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_14B20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium pFosPlaG,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium UaAb1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium W4-39b,12,12,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-102b,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-15b,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-47b,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-51b,15,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws020C1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
,uncultured bacterium ws034A6,16,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
,uncultured bacterium ws085G8,17,17,10,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0
,uncultured bacterium ws138B4,15,14,20,0,0,0,19,0,0,0,0,0,0,0,0,0,22,5
,uncultured bacterium ws156A7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws172H5,5,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,24,0
,uncultured bacterium ws633F6,0,10,7,0,0,0,14,0,0,0,0,0,0,0,0,0,38,9
,uncultured bacterium ws643C1,0,5,20,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0
,uncultured bacterium zdt-14e13,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium zdt-33i5,0,12,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured denitrifying bacterium,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
,uncultured marine bacterium,14,10,19,0,0,0,11,11,0,0,0,0,0,0,0,0,66,6
,uncultured marine bacterium 313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
,uncultured marine bacterium 578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
,uncultured marine bacterium Ant4D3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,23,0
,uncultured marine bacterium EB0_41B09,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,40,0
,uncultured marine bacterium MedDCM-OCT-S04-C123,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
,uncultured marine bacterium MedDCM-OCT-S04-C7,5,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured nitrogen-fixing bacterium,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
