,,Depth (cm),,,,,,,,,,,,,,,,,
,"environmental samples <bacteria,phylum Acidobacteria>",4,0,19,40,9,16,5,8,4,16,25,7,2,7,16,15,8,27
,uncultured Acidobacteria bacterium,16,0,744,1274,143,276,264,264,95,729,679,329,200,497,314,445,342,1316
,uncultured Acidobacteria bacterium A11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A12,0,0,8,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,0,0,12,11,0,0,0,0,0,11,0,5,9,6,9,5,0,11
,uncultured Acidobacteria bacterium cosmid p2H8,0,0,10,10,0,0,9,7,0,7,0,0,0,6,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,0,0,8,15,0,0,5,0,0,13,15,5,5,7,0,15,0,19
,Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
,Holophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophaga foetida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,unclassified Acidobacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,0,0,9,8,5,4,4,0,0,9,11,8,10,9,3,5,5,8
,Aquificales,2,0,6,1,4,2,0,3,4,22,10,4,1,7,4,5,2,6
,Aquificaceae,2,0,14,9,12,4,3,9,11,13,8,8,2,14,13,7,9,18
,Aquifex,0,0,0,2,0,7,0,3,1,0,0,5,4,0,0,8,4,1
,Aquifex aeolicus,0,0,31,58,0,10,10,0,0,39,42,22,12,24,12,36,19,51
,Aquifex pyrophilus,0,0,11,7,0,0,12,8,9,10,12,0,0,17,5,0,0,12
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificaceae bacterium,0,0,14,42,10,18,35,15,9,6,8,0,6,8,0,6,0,23
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,0,0,56,116,8,27,10,13,0,45,59,25,16,34,13,23,21,76
,Hydrogenobaculum,0,0,32,38,0,11,0,0,0,21,36,5,10,28,10,28,13,90
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,5,8
,Thermocrinis,0,0,10,5,9,4,2,5,0,3,5,0,0,5,3,9,7,11
,Thermocrinis albus,0,0,18,36,0,0,0,0,0,21,23,8,6,14,5,14,6,23
,Thermocrinis minervae,0,0,23,38,0,5,6,0,0,19,8,10,5,16,6,17,16,22
,Thermocrinis ruber,5,0,31,57,6,14,16,7,0,41,28,26,6,25,7,18,13,53
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,0,0,77,125,20,48,47,18,5,70,93,23,17,57,51,70,41,210
,"environmental samples <aquificales,order Aquificales>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificales bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
,Hydrogenothermaceae,0,0,5,4,0,1,1,2,3,4,3,1,1,8,0,5,2,0
,Hydrogenothermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenothermus marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Persephonella,0,0,3,11,2,3,5,2,0,6,5,2,3,10,4,9,7,14
,Persephonella marina,0,0,51,111,9,34,19,19,0,42,55,24,12,41,22,38,20,113
,unclassified Persephonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Persephonella sp. OT-4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium,0,0,3,7,1,2,3,8,0,17,13,16,10,10,8,9,5,8
,Sulfurihydrogenibium azorense,0,0,36,93,14,24,18,6,0,33,25,14,0,32,15,23,28,139
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,0,0,81,123,12,39,26,22,9,83,83,23,25,67,94,185,90,376
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,8,0,32,22,1,2,4,9,2,10,12,3,1,14,2,7,9,11
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacterium thermolithotrophum,0,0,75,106,14,28,21,17,17,73,70,21,15,57,36,56,37,195
,Thermovibrio,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0
,Thermovibrio ammonificans,0,0,87,141,9,31,11,12,6,115,88,60,34,64,38,59,32,130
,"environmental samples <bacteria,class Aquificae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificae bacterium,0,0,10,14,0,6,0,0,0,0,0,0,0,0,0,0,0,8
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,0,0,2,4,2,0,1,1,0,6,0,0,4,1,0,3,0,3
,Caldisericia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum exile,0,0,66,87,13,27,33,32,8,59,67,39,25,76,35,58,71,295
,"environmental samples <bacteria,phylum Caldiserica>",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,uncultured Caldiserica bacterium,0,0,0,10,0,7,0,0,0,59,29,35,0,19,7,12,11,31
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,0,0,0,2,0,1,0,0,0,3,4,2,0,0,0,4,0,3
,Caldithrix abyssi,10,0,345,484,61,142,81,41,20,286,286,167,92,269,169,236,175,639
,"environmental samples <bacteria,genus Caldithrix>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Caldithrix sp.,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,0,0,198,415,45,76,105,35,9,239,160,102,86,116,108,131,91,370
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
,Coprothermobacter proteolyticus,0,0,68,135,15,24,29,9,0,116,78,65,32,78,43,78,61,239
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,3,0,0,1,3,6,3,3,1,0,0,3,0,0,1,2,1,1
,Deferribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteraceae,22,0,11,22,9,11,3,6,9,16,29,9,10,33,22,20,25,51
,Calditerrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditerrivibrio nitroreducens,0,0,81,111,9,25,21,21,10,67,60,29,23,67,41,100,42,164
,Deferribacter,0,0,8,17,0,2,0,2,0,2,1,0,2,2,2,2,4,5
,Deferribacter desulfuricans,0,0,268,383,38,106,57,34,17,97,162,67,40,120,54,96,68,323
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denitrovibrio acetiphilus,0,0,100,184,24,60,60,25,0,115,117,67,41,117,52,120,74,339
,Flexistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flexistipes sinusarabici,0,0,148,287,17,37,18,11,8,91,82,45,35,106,55,80,72,273
,Geovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geovibrio thiophilus,0,0,153,311,34,52,60,26,11,132,119,61,62,85,73,99,61,205
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Deferribacteres bacterium,0,0,11,19,0,0,0,0,0,14,16,7,7,17,5,11,6,39
,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,0,0,84,88,18,25,21,45,24,55,61,40,18,64,57,66,55,206
,Dictyoglomus thermophilum,0,0,28,75,9,22,18,28,5,37,75,13,20,36,15,58,24,142
,Dictyoglomus turgidum,0,0,90,214,48,90,66,38,8,46,102,32,17,79,30,64,67,318
,Elusimicrobia,0,0,53,99,13,48,24,24,5,54,71,24,18,64,61,83,79,423
,Elusimicrobia <class>,0,0,4,0,0,1,0,0,0,4,1,1,0,0,0,0,0,1
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0
,Elusimicrobium minutum,0,0,35,64,0,20,7,14,0,32,48,10,10,33,21,56,23,107
,Endomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endomicrobium trichonymphae,0,0,0,0,0,0,0,5,0,6,0,0,6,5,12,6,5,8
,"environmental samples <bacteria,phylum Elusimicrobia>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Termite group 1 bacterium,0,0,11,16,0,8,0,0,0,0,12,0,0,0,0,0,0,11
,"environmental samples <bacteria,superkingdom Bacteria>",106,4,1066,1545,350,696,522,322,167,1451,1431,899,488,927,714,958,609,1373
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,bacterium enrichment culture,0,0,0,6,0,0,0,0,0,14,7,0,0,0,0,0,0,0
,bacterium enrichment culture clone fosmid MGS-K1,0,0,14,27,5,0,0,0,0,5,0,0,0,5,0,0,0,14
,uncultured anaerobic ammonium-oxidizing bacterium,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0
,uncultured anaerobic bacterium,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium,542,40,10966,17863,2113,5412,3567,1978,888,16251,11105,6055,3315,8638,5707,8499,5527,17882
,uncultured bacterium 'To-T 020 P12',0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 1062,0,0,0,0,0,0,0,0,0,9,5,5,0,5,0,9,0,0
,uncultured bacterium 1116,0,0,0,5,0,14,0,0,0,10,0,0,0,0,5,0,0,0
,uncultured bacterium 122006-I05,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 12AC_lac13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium 148,0,0,11,10,5,0,12,11,0,10,0,0,0,5,6,0,0,0
,uncultured bacterium 164,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 182_07_C02,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 182_10_L09,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,20
,uncultured bacterium 182_16_E12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 182_35_O20,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 246,0,0,27,44,0,5,7,0,0,9,20,0,0,0,0,8,6,12
,uncultured bacterium 259,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7
,uncultured bacterium 293,0,0,22,35,0,0,6,0,0,19,18,7,0,12,7,5,7,9
,uncultured bacterium 34R1,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0
,uncultured bacterium 35A20,0,0,21,49,0,5,0,0,0,8,13,0,6,33,6,0,9,62
,uncultured bacterium 4050020-J15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8
,uncultured bacterium 413004-H17,0,0,6,14,0,0,0,0,0,9,0,0,0,7,0,0,0,6
,uncultured bacterium 59,0,0,8,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 70,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,5
,uncultured bacterium 8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium 89,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 92,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 98,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 9F08,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
,uncultured bacterium A1Q1_fos_1134,0,0,0,0,0,0,0,0,0,5,0,8,5,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1877,0,0,15,15,0,8,7,0,0,16,8,0,5,6,0,5,0,12
,uncultured bacterium A1Q1_fos_1880,0,0,0,5,0,0,6,0,0,5,0,0,8,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,0,0,6,11,0,0,0,0,0,14,0,0,0,5,0,0,5,10
,uncultured bacterium A1Q1_fos_2111,0,0,7,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0
,uncultured bacterium A1Q1_fos_2386,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_291,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
,uncultured bacterium A1Q1_fos_500,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_504,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_515,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10
,uncultured bacterium A1Q1_fos_568,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium AD-151-A2,0,0,34,41,0,0,8,0,0,7,0,0,0,0,0,0,8,0
,uncultured bacterium AD106-G4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD106-G5,0,0,5,7,0,0,0,0,0,11,6,0,0,0,0,0,0,0
,uncultured bacterium AD12-A11,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium AD12-C5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,uncultured bacterium AD243-C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,uncultured bacterium AD243-H1,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,7,0,7
,uncultured bacterium AD249-B8,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,8,5,13
,uncultured bacterium AD254-A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,uncultured bacterium AD257-B4,0,0,8,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD370-D1,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium AD45-G12,0,0,11,10,0,0,6,0,0,16,7,0,9,16,0,6,0,14
,uncultured bacterium Ad_125_D08,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0
,uncultured bacterium Ad_125_H07_contig1,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ad_143_A19,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ad_144_C12_contig1,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ak20-3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,uncultured bacterium ARCTIC13_B_06,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC23_B_12,0,0,0,7,0,0,0,0,0,6,6,5,12,29,0,0,13,43
,uncultured bacterium ARCTIC46_A_12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC10G6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
,uncultured bacterium BLR10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium CBNPD1 BAC clone 1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,uncultured bacterium contig00001,0,0,0,7,0,0,5,0,0,10,5,0,0,0,0,0,7,0
,uncultured bacterium contig00002,0,0,14,9,0,0,8,0,0,0,0,0,0,0,7,6,0,6
,uncultured bacterium contig00006,0,0,5,21,0,0,6,0,0,17,10,0,0,11,0,6,5,0
,uncultured bacterium contig00009,0,0,5,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0
,uncultured bacterium contig00011,0,0,0,0,0,0,5,11,0,9,6,0,0,0,0,0,0,0
,uncultured bacterium contig00012,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,6,6
,uncultured bacterium contig00016,0,0,37,44,0,6,8,0,0,27,18,0,6,13,0,10,12,23
,uncultured bacterium contig00017,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00019,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00020,0,0,8,6,0,0,0,0,0,18,6,19,11,9,0,0,0,21
,uncultured bacterium contig00022,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0
,uncultured bacterium contig00023,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium contig00027,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium contig00029,0,0,6,11,0,5,14,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00030,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00031,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,uncultured bacterium contig00033,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6
,uncultured bacterium contig00034,0,0,5,10,0,0,0,0,0,19,0,0,0,5,6,0,5,8
,uncultured bacterium contig00035,0,0,5,5,0,0,0,0,0,20,8,8,0,10,0,7,11,32
,uncultured bacterium contig00036,0,0,0,10,0,0,5,0,0,16,0,0,0,0,0,0,0,0
,uncultured bacterium contig00038,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
,uncultured bacterium contig00039,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0
,uncultured bacterium contig00040,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
,uncultured bacterium contig00044,0,0,0,5,0,0,0,0,0,23,13,6,0,0,0,0,5,8
,uncultured bacterium contig00045,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,uncultured bacterium contig00047,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,5,0,8
,uncultured bacterium contig00049,0,0,0,6,0,0,0,0,0,9,0,7,0,0,0,0,0,0
,uncultured bacterium contig00052,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00055,0,0,16,31,0,16,17,5,0,65,20,14,11,16,12,7,9,18
,uncultured bacterium contig00057,0,0,7,18,0,5,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00066,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00067,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,14
,uncultured bacterium contig00095,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00100,0,0,19,22,5,0,0,0,0,12,10,0,7,0,0,5,0,6
,uncultured bacterium contig00105,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
,uncultured bacterium contig00106,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5
,uncultured bacterium contig00107,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium contig00117,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00119,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00120,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00124,0,0,0,0,0,0,0,0,0,11,0,0,6,8,0,0,6,0
,uncultured bacterium contig00125,0,0,31,43,9,14,33,12,0,135,43,27,9,20,32,43,20,44
,uncultured bacterium contig00129,0,0,12,16,0,0,5,5,0,10,13,0,0,12,5,0,6,28
,uncultured bacterium contig00130,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
,uncultured bacterium contig00131,0,0,6,15,0,0,0,0,0,14,0,5,0,5,5,8,0,0
,uncultured bacterium contig00138,0,0,5,10,0,0,6,0,0,10,0,0,0,0,0,0,0,10
,uncultured bacterium contig00141,0,0,14,32,0,10,39,0,0,20,17,0,6,19,10,15,6,48
,uncultured bacterium contig00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,uncultured bacterium contig00145,0,0,12,18,0,6,7,6,0,35,18,11,0,9,18,8,5,24
,uncultured bacterium contig00146(2014),0,0,37,68,0,17,6,0,0,27,21,12,6,12,0,10,6,31
,uncultured bacterium contig00148,0,0,7,0,0,0,0,0,0,9,5,6,0,0,0,0,0,7
,uncultured bacterium contig00151,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
,uncultured bacterium contig00159,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,7,0,6
,uncultured bacterium contig00163,0,0,7,9,0,9,24,0,0,12,5,0,0,0,0,6,0,5
,uncultured bacterium contig00165,0,0,8,24,5,11,8,0,0,18,13,12,5,12,8,0,5,13
,uncultured bacterium contig00175,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0
