,,Depth (cm),,,,,,,,,,,,,
,Holophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,1,1,4,0,0,0,3,5,0,7,0,4,4,3
,Aquificales,1,1,4,2,8,9,3,8,5,5,2,0,2,1
,Aquificaceae,11,15,9,7,0,0,1,0,7,8,5,5,9,14
,Aquifex,0,0,3,0,0,0,3,0,0,0,0,0,0,2
,Aquifex aeolicus,6,5,5,0,0,0,7,0,0,0,0,0,0,0
,Aquifex pyrophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,8,0,0,0,0,0,6,0,0,0,7,0,0,0
,Hydrogenobaculum,5,11,0,0,0,0,10,0,0,0,2,0,0,0
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,Thermocrinis,10,7,5,0,0,0,2,0,0,0,0,0,8,5
,Thermocrinis albus,0,0,6,0,0,0,8,0,0,0,5,0,0,0
,Thermocrinis minervae,0,0,0,0,0,0,6,0,0,0,6,0,0,0
,Thermocrinis ruber,7,0,0,0,0,0,9,0,0,0,6,0,0,0
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,33,21,7,0,0,0,18,0,0,5,14,6,7,12
,Hydrogenothermaceae,1,2,3,0,0,0,1,2,0,9,0,6,9,1
,Persephonella,3,1,1,0,0,0,6,0,0,0,0,0,0,5
,Persephonella marina,31,9,5,5,6,0,0,0,10,0,9,0,0,0
,Sulfurihydrogenibium,2,7,9,2,0,0,5,2,2,4,0,0,2,0
,Sulfurihydrogenibium azorense,5,0,0,0,0,0,0,0,0,0,0,0,0,8
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,51,27,17,6,6,6,62,12,16,18,28,12,8,20
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,0,4,0,0,5,0,4,0,9,0,3,0,3,3
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacterium thermolithotrophum,15,10,11,0,0,0,5,0,0,0,0,0,0,0
,Thermovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermovibrio ammonificans,15,20,8,7,0,0,18,0,9,0,14,0,5,5
,Bacteria incertae sedis,32,29,27,16,26,29,12,30,21,28,10,37,21,22
,Bacteria candidate phyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division Kazan-3B-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division Kazan bacterium GW2011_GWA1_50_15,33,8,7,0,0,0,17,0,5,0,0,0,0,0
,candidate division NC10,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,Candidatus Methylomirabilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Candidatus Methylomirabilis oxyfera,408,232,141,37,38,38,316,60,108,98,209,71,120,137
,candidate division SR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division SR1 bacterium RAAC1_SR1_1,0,0,5,0,0,0,6,0,0,0,0,0,0,0
,candidate division WWE3,0,5,5,0,0,0,6,0,0,0,0,0,0,0
,candidate division WWE3 bacterium CSP1-7,18,6,0,0,0,0,13,0,0,0,0,0,0,0
,candidate division WWE3 bacterium RAAC2_WWE3_1,5,0,0,0,0,0,0,0,0,0,7,0,0,0
,Candidatus Aminicenantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Aminicenantes>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aminicenantes bacterium,52,47,36,10,10,22,106,10,32,24,114,19,26,32
,Candidatus Atribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Atribacteria>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Candidatus Atribacteria bacterium,232,87,27,14,15,5,98,6,6,24,46,6,15,46
,Candidatus Berkelbacteria,5,1,6,0,0,0,0,5,0,5,2,0,0,1
,Berkelbacteria bacterium GW2011_GWA2_35_9,8,0,0,0,0,0,5,0,0,0,0,0,0,0
,Berkelbacteria bacterium GW2011_GWE1_39_12,8,10,0,0,0,0,16,8,0,0,10,0,0,14
,Candidatus Bipolaricaulota,37,42,28,4,16,25,24,18,20,33,17,20,11,28
,Candidatus Acetothermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Acetothermum autotrophicum,21,16,13,5,5,0,14,5,13,13,12,0,5,11
,"environmental samples <bacteria,phylum Candidatus Bipolaricaulota>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Acetothermia bacterium,6,0,0,0,0,0,7,0,0,0,0,0,0,0
,Candidatus Calescamantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,KB1 group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,clade KB1 group>",3,5,0,4,0,0,5,0,8,3,2,0,8,3
,uncultured KB1 group bacterium Medee_0002,27,27,6,0,0,0,28,0,5,9,19,0,5,12
,uncultured KB1 group bacterium Medee_0003,6,0,6,6,0,0,0,0,0,0,0,0,0,0
,Candidatus Dependentiae,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,Candidatus Babeliae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babeliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babeliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babela,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babela massiliensis,32,29,101,37,23,50,44,137,189,155,26,139,116,78
,unclassified Candidatus Dependentiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division TM6 bacterium GW2011_GWF2_28_16,0,9,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Dojkabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,clade Candidatus Dojkabacteria>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium pTW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria,19,12,12,5,0,0,11,5,12,7,9,0,14,5
,Candidatus Saccharibacteria oral taxon TM7x,0,0,0,0,0,0,7,0,0,0,0,0,0,0
,Candidatus Saccharimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharimonas aalborgensis,0,0,0,0,0,0,6,0,0,0,0,0,0,0
,unclassified Saccharibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium oral taxon 488,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,6,6,0,5,0,0,6,0,0,0,0,0,0,0
,Patescibacteria group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Candidatus Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Gracilibacteria bacterium HOT-871,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Microgenomates group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Beckwithbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,12,14,0,6,0,0,14,0,5,5,11,0,6,5
,Candidatus Microgenomates,1,2,1,0,0,0,0,0,0,0,0,0,0,0
,unclassified Microgenomates,4,10,6,4,0,6,4,0,10,9,8,5,2,12
,Candidatus Woesebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,10,0,10,0,0,0,10,0,0,0,0,0,0,7
,unclassified Microgenomates group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,unclassified Microgenomates group>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Microgenomates group bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcubacteria group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Campbellbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Campbellbacteria bacterium GW2011_OD1_34_28,7,0,0,0,0,0,10,0,0,0,0,0,0,0
,Candidatus Parcubacteria,3,1,0,0,0,0,1,0,1,0,1,0,0,3
,unclassified Parcubacteria,13,18,4,0,0,0,7,6,5,0,13,0,0,8
,Candidatus Wolfebacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1,13,9,6,0,0,0,10,0,0,0,0,0,0,0
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,3,1,3,0,0,0,2,0,0,0,1,0,0,0
,Caldisericia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum exile,40,10,13,0,9,0,45,0,10,7,23,0,0,0
,"environmental samples <bacteria,phylum Caldiserica>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Caldiserica bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,1,1,0,0,0,0,3,0,0,0,2,0,0,0
,Caldithrix abyssi,64,51,33,11,6,0,92,8,33,25,50,12,24,33
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,45,46,22,6,9,0,54,8,23,23,42,14,15,20
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Coprothermobacter proteolyticus,13,5,8,0,0,0,14,0,0,0,0,0,0,10
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,2,1,1,0,2,0,2,0,0,3,1,0,0,0
,Deferribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteraceae,9,8,12,4,7,14,6,19,17,17,0,21,19,15
,Calditerrivibrio,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Calditerrivibrio nitroreducens,17,12,5,5,0,0,21,0,0,7,13,0,7,0
,Deferribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacter desulfuricans,28,30,15,7,5,0,18,6,6,10,20,0,8,8
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denitrovibrio acetiphilus,21,16,5,7,0,0,22,0,14,5,9,0,0,0
,Flexistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flexistipes sinusarabici,34,15,16,6,0,0,25,0,0,7,17,0,0,10
,Geovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geovibrio thiophilus,36,32,0,0,6,0,35,0,11,10,17,5,0,15
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Deferribacteres bacterium,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,13,27,15,10,5,0,19,5,7,9,12,0,19,24
,Dictyoglomus thermophilum,10,12,0,0,0,0,12,0,0,0,14,0,0,0
,Dictyoglomus turgidum,19,13,6,0,0,0,20,0,0,0,16,0,0,0
,Elusimicrobia,23,22,5,5,0,0,23,9,7,7,19,0,0,17
,Elusimicrobia <class>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Elusimicrobium minutum,0,0,5,0,0,0,14,0,0,0,6,0,0,0
,"environmental samples <bacteria,superkingdom Bacteria>",692,600,347,137,128,146,514,218,556,383,387,262,324,320
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,bacterium enrichment culture,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,bacterium enrichment culture clone fosmid MGS-K1,0,6,0,0,0,0,5,0,0,0,0,0,0,0
,bacterium enrichment culture DGGE band aps6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium,3481,3062,1936,768,646,647,2960,1347,4108,2120,1938,1695,1632,1673
,uncultured bacterium 'To-T 020 P12',0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 12AC_lac13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 148,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 182_10_L09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_12_O16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_24_C18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_26_G23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_29_M04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 246,0,0,0,0,0,0,8,0,0,0,0,0,0,0
,uncultured bacterium 259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 293,0,0,0,0,0,0,9,0,0,0,0,0,0,0
,uncultured bacterium 35A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 888,0,0,0,5,0,0,0,0,5,0,0,0,0,0
,uncultured bacterium 92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_160,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,uncultured bacterium A1Q1_fos_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1807,0,0,0,0,0,0,0,0,10,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1870,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,0,0,0,0,0,0,7,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_499,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_75,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,uncultured bacterium AD106-G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD243-H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ad_125_D08,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,uncultured bacterium Ak20-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC08_C_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC47_D_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC-L1N9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC10-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Bio7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BLR8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BLR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00002,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,uncultured bacterium contig00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00034,0,5,0,0,0,0,5,0,7,7,0,0,0,0
,uncultured bacterium contig00035,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00038,0,0,0,0,0,0,9,0,0,0,6,0,0,0
,uncultured bacterium contig00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00044,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00047,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00055,0,6,16,0,0,0,5,0,13,6,6,0,0,0
,uncultured bacterium contig00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00071,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00083,0,0,0,0,0,0,10,0,0,0,0,0,0,0
,uncultured bacterium contig00086,0,0,0,0,0,0,0,0,8,0,5,0,0,0
,uncultured bacterium contig00088,0,0,0,0,0,0,8,0,0,0,9,0,0,0
,uncultured bacterium contig00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00125,8,7,8,5,0,6,11,0,20,10,9,10,0,6
,uncultured bacterium contig00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00131,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,uncultured bacterium contig00138,5,8,0,0,0,0,0,0,10,0,0,0,0,0
,uncultured bacterium contig00141,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00146(2014),9,8,0,0,0,0,13,0,0,0,0,0,0,0
,uncultured bacterium contig00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00163,0,0,0,0,0,0,6,0,8,0,6,0,0,0
