,,Depth (cm),,,,,,,,,,,
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificaceae bacterium,0,0,0,0,0,32,0,0,0,0,0,27
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,9,7,0,0,0,44,5,5,0,7,0,0
,Hydrogenobaculum,12,9,0,0,28,117,6,2,0,5,27,81
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,0,0,0,11,0,5,0,13,27,48
,Thermocrinis,11,19,6,0,4,3,11,10,0,13,1,7
,Thermocrinis albus,0,11,0,0,5,33,6,0,0,5,7,15
,Thermocrinis minervae,5,0,0,0,6,37,0,0,0,0,0,0
,Thermocrinis ruber,5,0,0,0,19,45,0,0,0,0,0,27
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,23,36,0,0,15,108,18,23,0,23,0,7
,Hydrogenothermaceae,4,6,1,0,1,8,2,1,6,2,0,0
,Persephonella,3,2,0,0,11,33,5,7,0,8,4,9
,Persephonella marina,5,13,0,0,60,208,0,34,0,33,21,33
,unclassified Persephonella,0,0,0,0,0,0,0,0,0,0,0,0
,Persephonella sp. ABE-1,0,0,0,0,0,6,0,0,0,0,0,0
,Sulfurihydrogenibium,5,1,5,0,6,4,3,0,0,1,0,0
,Sulfurihydrogenibium azorense,15,31,0,0,50,289,13,34,0,43,45,77
,Sulfurihydrogenibium subterraneum,0,0,0,0,0,37,0,0,0,9,0,0
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,28,32,0,0,57,279,20,30,0,102,45,131
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,5,4,3,8,4,9,11,5,4,2,3,1
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,2,2,0
,Desulfurobacterium thermolithotrophum,7,31,0,0,38,155,0,12,0,46,21,61
,Thermovibrio,0,0,0,0,0,0,1,0,0,0,0,0
,Thermovibrio ammonificans,27,37,9,0,5,60,16,0,10,0,0,8
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,0,1,0,0,0,1,0,1,0,0,0,0
,Caldisericia,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,1,0,0,0,0,0,0
,Caldisericum exile,9,31,0,5,0,70,11,5,0,6,0,6
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,0,1,0,0,0,0,0,0,0,0,0,0
,Caldithrix abyssi,69,120,0,13,38,215,47,45,5,40,31,107
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,43,77,6,18,33,193,28,30,0,56,16,13
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter proteolyticus,11,19,0,0,0,25,8,0,0,0,0,11
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,8,0,2,1,1,1,1,3,1,0,0,1
,Deferribacterales,0,0,1,0,0,2,0,0,0,0,0,0
,Deferribacteraceae,9,4,22,17,4,7,10,8,7,2,5,17
,Calditerrivibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Calditerrivibrio nitroreducens,7,33,0,8,73,175,14,0,0,22,15,22
,Deferribacter,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacter desulfuricans,18,46,0,0,101,479,19,49,11,122,50,102
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Denitrovibrio acetiphilus,22,27,0,0,49,209,13,20,5,83,36,114
,Flexistipes,0,0,0,0,0,0,0,0,0,0,0,0
,Flexistipes sinusarabici,26,42,0,0,28,170,21,28,0,49,12,17
,Geovibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Geovibrio thiophilus,14,42,0,0,8,53,9,18,0,7,14,16
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Deferribacteres bacterium,0,18,0,0,0,11,11,5,0,0,0,0
,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,8,13,0,0,9,3,14,6,5,2,1,4
,Dictyoglomus thermophilum,12,28,0,0,0,78,0,8,0,0,7,0
,Dictyoglomus turgidum,9,24,0,0,33,91,14,19,0,13,14,12
,Elusimicrobia,20,31,0,0,5,24,12,0,5,0,8,3
,Elusimicrobia <class>,0,0,0,0,0,2,2,0,0,0,0,0
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,0,2,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium minutum,10,8,0,0,0,31,7,0,0,0,21,73
,"environmental samples <bacteria,phylum Elusimicrobia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Termite group 1 bacterium,0,0,0,0,5,0,0,0,0,0,0,0
,"environmental samples <bacteria,superkingdom Bacteria>",595,940,153,255,550,2269,448,393,71,288,200,481
,bacterium enrichment culture clone 11G07,0,0,0,0,7,9,0,0,0,0,0,0
,deep-sea autotrophic bacteria ensemble,0,0,0,0,0,0,0,0,0,0,0,1
,uncultured deep-sea autotrophic bacterium SBI-2,0,0,0,0,0,0,0,0,0,0,9,19
,uncultured anaerobic ammonium-oxidizing bacterium,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium,2224,5032,642,858,7894,33771,1836,2461,388,6552,4319,9132
,uncultured bacterium 'pool 3 contig00022',0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium 1042,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium 182_42_K21,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium 2.9_H8,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium 293,0,8,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 9F08,0,7,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1134,0,0,0,0,0,14,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_504,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD-151-A2,0,0,0,0,0,12,0,0,0,0,0,0
,uncultured bacterium AD106-G5,0,7,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium AD12-C5,0,0,0,0,29,41,0,0,0,0,0,0
,uncultured bacterium AD12-E7,0,0,0,0,0,33,0,0,0,0,21,24
,uncultured bacterium AD243-H1,5,8,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium AD249-B8,0,6,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD45-G12,0,6,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium AD66-C11,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium ARCTIC03_F_03,0,0,0,0,0,23,0,0,0,0,17,26
,uncultured bacterium ARCTIC06_E_09,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium ARCTIC09_D_04,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium ARCTIC10_A_01,0,0,0,0,0,14,0,0,0,0,0,0
,uncultured bacterium ARCTIC13_E_12,0,0,0,0,0,6,0,0,0,0,0,6
,uncultured bacterium ARCTIC16_F_12,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium ARCTIC21_A_09,0,0,0,0,5,0,0,0,0,0,11,56
,uncultured bacterium ARCTIC2_F2,0,0,0,0,0,0,0,0,0,0,0,5
,uncultured bacterium ARCTIC32_C_08,0,0,0,0,0,0,0,0,0,0,15,34
,uncultured bacterium ARCTIC33_F_06,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium ARCTIC37_F_06,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium ARCTIC38_A_01,0,0,0,0,0,7,0,0,0,21,0,0
,uncultured bacterium ARCTIC39_F_11,0,0,0,0,0,6,0,0,0,5,0,0
,uncultured bacterium ARCTIC40_B_04,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium ARCTIC42_C_05,0,0,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium ARCTIC45_G_10,0,0,0,0,0,11,0,0,0,0,0,5
,uncultured bacterium AZOG21036,0,0,0,0,0,10,0,0,0,0,0,22
,uncultured bacterium B3TF_MPn_8,0,0,0,0,0,6,0,0,0,0,0,8
,uncultured bacterium CcAb1,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium contig00007,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00012,0,6,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00016,0,5,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium contig00034,0,0,0,0,0,15,0,0,0,0,0,0
,uncultured bacterium contig00045,0,0,0,0,6,14,0,0,0,0,0,0
,uncultured bacterium contig00048,0,0,0,0,0,11,0,0,0,0,0,0
,uncultured bacterium contig00055,0,0,0,0,0,13,0,0,0,0,0,0
,uncultured bacterium contig00090,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium contig00125,5,10,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium contig00138,0,8,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00141,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00146(2014),14,11,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium contig00163,0,5,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium contig00406(2014),0,0,0,0,0,20,0,0,0,0,0,0
,uncultured bacterium contig00411(2014),13,20,0,0,0,11,8,0,0,0,0,0
,uncultured bacterium contig00510(2014),0,0,0,0,0,17,0,0,0,0,0,0
,uncultured bacterium contig07432(2014),12,7,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium contig08046(2014),0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium contig10083(2014),0,5,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium Contig33,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium Contig9,0,6,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ctg7180000001451,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium DC-99E,0,0,0,0,0,0,0,0,0,0,0,5
,uncultured bacterium FGYC_13M19,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium FLS18,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium FPPP_13C3,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium FPPP_33K14,0,0,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium GRIST15,0,0,0,0,0,12,0,0,0,0,0,0
,uncultured bacterium GRIST17,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium GRIST24,0,0,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium H1_5,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium HERMI11,0,0,0,0,0,11,0,0,0,0,0,0
,uncultured bacterium HF0010_31F02,0,0,0,0,0,11,0,0,0,0,0,0
,uncultured bacterium HF0070_05I22,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium HF0500_16O16,0,6,0,0,0,13,0,0,0,0,0,0
,uncultured bacterium HF0500_31I04,0,0,0,0,0,29,0,0,0,0,0,0
,uncultured bacterium HF0770_09N23,0,0,0,0,0,32,0,0,0,0,0,0
,uncultured bacterium HF0770_15G20,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium JM8_D9,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium JM9_B4,0,0,0,0,0,7,0,0,0,0,0,22
,uncultured bacterium KM3-18-F8,0,6,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium KM3-25-B4,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium KM3-47-A6,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured bacterium KM3-69-F5,0,0,0,0,0,0,0,0,0,0,12,39
,uncultured bacterium MedeBAC46A06,0,0,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium OMZ60_02F10,0,0,0,0,0,15,0,0,0,0,0,0
,uncultured bacterium OMZ60_08D22,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium OMZ60_10K18,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium OMZ60_11L23,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium OMZ60_11M11,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium OMZ60_13C10,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured bacterium OMZ60_14B20,0,7,0,0,0,12,0,0,0,0,0,0
,uncultured bacterium pFosPlaG,0,25,0,0,5,100,13,21,0,6,0,0
,uncultured bacterium UaAb1,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium W4-39b,6,12,0,0,0,20,7,0,0,0,0,0
,uncultured bacterium W5-15b,6,0,0,0,0,11,0,0,0,0,0,0
,uncultured bacterium W5-47b,0,0,0,0,0,15,0,0,0,0,0,0
,uncultured bacterium W5-51b,5,6,0,0,0,8,0,0,0,0,0,0
,uncultured bacterium W5-77b,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured bacterium ws020C1,0,0,0,0,0,15,0,0,0,0,0,0
,uncultured bacterium ws034A6,0,14,0,0,0,16,0,0,0,0,0,0
,uncultured bacterium ws085G8,0,25,0,9,5,28,6,0,0,0,0,7
,uncultured bacterium ws101A12,0,0,0,0,12,17,0,0,0,0,0,0
,uncultured bacterium ws138B4,0,0,0,7,0,11,0,0,0,0,12,44
,uncultured bacterium ws156A7,0,5,0,0,0,16,0,0,0,0,0,0
,uncultured bacterium ws172H5,0,20,0,15,0,50,0,0,0,0,22,87
,uncultured bacterium ws633F6,0,0,0,0,0,0,0,0,0,0,55,188
,uncultured bacterium ws643C1,5,7,0,7,0,34,0,0,0,0,0,0
,uncultured bacterium zdt-14e13,0,5,0,0,0,16,0,0,0,0,0,0
,uncultured bacterium zdt-33i5,0,9,0,0,0,0,0,0,0,0,0,0
,uncultured denitrifying bacterium,0,0,0,0,8,35,0,0,0,0,0,0
,uncultured marine bacterium,0,30,0,5,31,124,0,5,0,51,24,128
,uncultured marine bacterium 463,0,0,0,0,0,0,0,0,0,0,0,5
,uncultured marine bacterium 560,0,0,0,0,0,0,0,0,0,0,0,6
,uncultured marine bacterium 578,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured marine bacterium 580,0,0,0,0,0,6,0,0,0,0,0,0
,uncultured marine bacterium 582,0,0,0,0,0,0,0,0,0,7,0,0
,uncultured marine bacterium Ant39E11,0,0,0,0,0,15,0,0,0,0,0,0
,uncultured marine bacterium Ant4D3,0,0,0,0,0,18,0,33,0,16,26,78
,uncultured marine bacterium EB0_41B09,0,0,0,0,0,6,0,0,0,0,21,69
,uncultured marine bacterium EB0_49D07,0,0,0,0,0,10,0,0,0,0,0,0
,uncultured marine bacterium HF10_12C08,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured marine bacterium MedDCM-OCT-S04-C7,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured nitrogen-fixing bacterium,0,0,0,0,14,59,0,0,0,24,0,0
,uncultured nuHF2 cluster bacterium HF0130_29D04,0,0,0,0,0,48,0,0,0,0,0,0
,uncultured nuHF2 cluster bacterium HF0500_39O04,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured rumen bacterium,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured sediment bacterium,25,40,0,0,57,343,7,26,0,618,157,243
,uncultured soil bacterium,56,78,8,12,13,80,31,24,11,0,6,12
,uncultured sulfate-reducing bacterium,218,267,29,50,53,450,95,79,11,24,0,14
,unidentified bacterium SM-A48,0,0,0,0,5,133,0,0,0,0,0,0
,FCB group,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroidetes/Chlorobi group,28,68,1,9,15,176,23,15,6,11,5,13
,Bacteroidetes,133,643,93,152,621,5888,320,308,47,274,347,865
,Bacteroidetes Order II. Incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodothermaceae,1,4,3,0,3,13,0,2,0,3,2,6
,Rhodothermus,0,0,0,0,0,1,0,0,0,0,0,0
,"environmental samples <CFB group bacteria,genus Rhodothermus>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rhodothermus sp.,0,0,0,0,0,6,0,0,0,0,0,0
,Rhodothermus marinus,146,203,19,42,61,205,63,31,10,16,5,21
,Salinibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Salinibacter ruber,84,128,17,32,11,132,55,23,9,7,0,11
,Bacteroidia,0,1,1,0,0,2,0,1,0,0,0,0
,Bacteroidales,23,90,22,24,78,917,82,57,24,92,15,41
,Bacteroidaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroides,63,109,47,48,80,549,77,67,17,65,49,166
,Bacteroides caccae,0,10,0,0,15,121,0,5,0,13,15,43
,Bacteroides cellulosilyticus,9,20,0,0,14,162,7,8,0,50,7,22
,Bacteroides dorei,6,9,0,0,12,159,7,5,0,0,0,15
,Bacteroides fragilis,23,64,0,5,72,491,35,25,0,55,25,87
,Bacteroides helcogenes,6,15,0,0,17,110,8,5,0,0,12,44
,Bacteroides heparinolyticus,6,12,0,0,0,56,0,0,0,5,9,0
,Bacteroides intestinalis,0,7,0,0,13,175,8,28,0,14,0,16
,Bacteroides ovatus,16,21,0,5,29,178,11,10,0,46,6,10
,Bacteroides salanitronis,22,28,0,0,5,110,14,9,0,0,0,8
,Bacteroides thetaiotaomicron,9,28,0,0,24,249,16,13,13,44,0,7
,Bacteroides uniformis,15,13,0,0,12,101,11,15,0,0,0,7
,Bacteroides vulgatus,0,18,0,0,0,95,5,0,0,0,0,0
,Bacteroides xylanisolvens,0,0,0,0,13,112,0,13,0,24,9,23
,Bacteroides zoogleoformans,5,0,0,0,0,72,0,0,0,0,0,0
,"environmental samples <CFB group bacteria,genus Bacteroides>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Bacteroides sp.,0,0,0,0,0,5,0,0,0,0,0,0
,Barnesiellaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Barnesiella,0,0,0,0,0,0,0,5,0,0,0,0
,Barnesiella viscericola,16,28,0,0,0,58,15,0,0,0,0,0
,Coprobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Coprobacter fastidiosus,0,0,0,0,0,8,0,0,0,0,0,0
,Dysgonamonadaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Dysgonomonas,0,0,0,0,0,6,0,0,0,0,0,0
,"environmental samples <CFB group bacteria,order Bacteroidales>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Bacteroidales bacterium,0,11,0,0,6,44,0,0,0,0,0,5
,Odoribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0
,Odoribacter splanchnicus,15,31,0,0,21,188,10,6,0,12,0,14
,Paludibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0
,Paludibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Paludibacter propionicigenes,7,45,0,0,35,412,29,34,0,12,17,44
,Porphyromonadaceae,12,10,15,18,10,30,17,8,9,10,3,11
,"environmental samples <CFB group bacteria,family Porphyromonadaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Porphyromonadaceae bacterium,0,0,0,0,0,5,0,0,0,0,0,0
,Fermentimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Fermentimonas caenicola,5,34,0,0,32,252,7,23,0,19,26,71
,Porphyromonas,4,8,2,7,15,10,14,14,1,11,0,5
,Porphyromonas asaccharolytica,6,17,0,0,0,28,0,0,0,0,0,0
,Porphyromonas cangingivalis,0,17,0,0,10,43,5,0,0,0,0,0
,Porphyromonas crevioricanis,0,5,0,0,0,30,0,0,0,0,6,6
,Porphyromonas gingivalis,15,32,6,9,7,80,18,16,5,0,9,35
,Prevotellaceae,3,4,2,2,4,6,0,3,1,2,4,6
,Paraprevotella,1,1,0,0,0,0,0,0,0,0,0,0
,Paraprevotella xylaniphila,6,14,0,0,0,45,10,0,0,0,0,0
,Prevotella,47,53,24,41,35,113,74,77,18,34,20,42
,Prevotella copri,0,0,0,0,0,9,0,0,0,0,0,0
,Prevotella corporis,0,0,0,0,0,6,0,0,0,0,0,0
,Prevotella dentalis,13,28,5,0,0,43,6,0,0,0,0,0
,Prevotella denticola,0,8,0,0,0,65,19,5,0,0,0,0
,Prevotella enoeca,0,11,0,0,0,31,5,5,0,0,0,0
,Prevotella fusca,6,9,0,0,0,63,6,7,0,8,6,5
,Prevotella intermedia,18,44,13,10,14,202,36,40,5,36,9,36
,Prevotella jejuni,9,11,0,0,6,82,0,7,0,19,0,7
,Prevotella melaninogenica,13,22,9,6,6,126,26,31,0,15,0,21
,Prevotella oris,0,10,0,0,5,54,9,20,0,0,0,0
,Prevotella ruminicola,8,10,0,0,10,71,0,0,0,8,0,0
,Prevotella scopos,0,7,0,0,5,39,11,5,0,0,7,50
,unclassified Prevotella,0,0,0,0,0,0,0,0,0,0,0,0
,Prevotella sp. oral taxon 299,0,14,0,0,14,141,13,5,0,0,0,8
,Prevotella sp. Sc00026,0,0,0,0,0,5,0,0,0,0,0,0
,Rikenellaceae,4,0,1,6,8,2,6,7,0,6,7,7
,Alistipes,1,7,5,8,7,12,3,10,0,0,0,3
,Alistipes finegoldii,24,35,0,0,0,50,15,0,0,0,0,10
,Alistipes shahii,22,38,0,9,16,78,16,5,0,0,0,0
,"environmental samples <CFB group bacteria,family Rikenellaceae>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Rikenellaceae bacterium,0,11,0,0,5,62,5,0,0,0,0,0
,Mucinivorans,0,0,0,0,0,0,0,0,0,0,0,0
,Mucinivorans hirudinis,0,21,0,0,0,81,7,0,0,0,0,0
,Rikenella,0,0,0,0,0,5,0,0,0,0,0,0
,Tannerellaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Parabacteroides,0,1,0,0,1,6,0,1,0,0,0,0
,Parabacteroides distasonis,14,43,5,0,21,168,12,18,0,6,7,22
,Tannerella,3,4,1,9,7,0,0,0,1,0,2,4
,Tannerella forsythia,5,12,0,0,7,115,26,34,0,40,0,17
,unclassified Tannerella,0,0,0,0,0,0,0,0,0,0,0,0
,Tannerella sp. oral taxon HOT-286,25,43,21,20,0,64,137,114,6,15,8,10
,unclassified Bacteroidales,0,3,0,6,4,0,0,0,0,1,0,0
,Candidatus Azobacteroides,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Azobacteroides pseudotrichonymphae,5,18,0,0,44,267,16,18,0,17,13,34
,unclassified Bacteroidales (miscellaneous),0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroidales bacterium CF,5,22,0,0,11,118,11,16,0,13,15,21
,Marinilabiliales,0,0,0,0,0,0,0,0,0,0,0,0
,Marinifilaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Marinifilum,0,0,0,0,0,6,0,0,0,0,0,8
