,,Depth (cm),,,,,,,,,,,,,
,Thermocrinis ruber,0,8,7,0,12,5,0,7,5,0,0,0,0,7
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,12,12,28,9,30,10,10,13,24,21,0,0,8,17
,Hydrogenothermaceae,1,5,1,1,5,5,0,0,0,1,3,0,0,1
,Persephonella,8,3,11,4,1,5,3,2,2,2,0,0,1,1
,Persephonella marina,7,13,11,6,12,5,5,26,32,26,0,0,5,12
,Sulfurihydrogenibium,8,3,5,3,7,3,0,0,4,0,7,0,3,4
,Sulfurihydrogenibium azorense,0,11,0,0,6,16,15,9,10,15,0,0,0,0
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,5,33,23,12,27,19,12,24,38,49,0,0,10,16
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacteriaceae,10,3,10,6,2,0,3,3,3,3,5,0,5,2
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurobacterium thermolithotrophum,0,9,10,0,14,15,0,8,13,8,0,0,0,7
,Thermovibrio,0,1,0,1,0,0,0,0,0,0,0,0,0,0
,Thermovibrio ammonificans,9,30,30,9,32,19,8,25,24,16,0,0,7,9
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,0,0,0,0,1,0,0,2,0,1,0,0,5,0
,Caldisericia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum exile,0,9,10,8,23,21,15,17,53,47,0,0,0,8
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix abyssi,93,170,160,73,110,43,28,60,75,61,6,0,14,31
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,42,96,81,43,76,19,6,46,59,45,10,0,13,15
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Coprothermobacter proteolyticus,0,6,5,0,12,13,11,22,30,20,0,0,9,6
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,5,4,1,1,1,4,2,0,1,4,1,0,0,0
,Deferribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteraceae,13,7,5,3,4,7,1,1,6,6,5,0,1,4
,Calditerrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditerrivibrio nitroreducens,0,15,8,0,28,12,6,18,12,11,0,0,10,10
,Deferribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacter desulfuricans,11,25,23,9,26,12,12,23,46,45,10,0,10,20
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Denitrovibrio acetiphilus,8,46,30,12,33,10,10,16,18,21,0,0,7,13
,Flexistipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flexistipes sinusarabici,37,87,61,30,40,8,14,41,70,44,8,0,8,15
,Geovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Geovibrio thiophilus,17,48,43,15,48,19,13,28,32,39,0,0,5,14
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Deferribacteres bacterium,0,12,9,0,16,0,0,5,5,6,0,0,0,0
,Dictyoglomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,0,4,12,3,13,17,1,11,18,14,7,0,4,5
,Dictyoglomus thermophilum,0,5,8,5,22,0,6,15,34,34,0,0,6,7
,Dictyoglomus turgidum,0,0,5,6,6,12,9,14,19,11,0,0,0,13
,Elusimicrobia,5,12,19,8,22,16,11,13,16,29,7,0,9,13
,Elusimicrobia <class>,0,0,1,0,0,0,0,0,1,0,0,0,0,0
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,0,0,1,0,5,0,0,0,0,0,0,0,0,0
,Elusimicrobium minutum,0,7,11,0,0,0,0,12,8,9,0,0,0,0
,Endomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Endomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Endomicrobium trichonymphae,8,6,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,superkingdom Bacteria>",640,1096,1064,408,1026,275,146,435,477,412,75,0,172,243
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,5,0,5,7,0,0,0,0,0,0,0,0,0
,bacterium enrichment culture,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,bacterium enrichment culture clone fosmid MGS-K1,0,0,0,0,0,0,0,5,0,5,0,0,0,0
,uncultured bacteria 696 ensemble,0,1,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 696AB,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterial symbiont of Discodermia dissoluta,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium,2989,6080,5140,1948,4473,1330,751,2944,3344,3080,625,0,959,1522
,uncultured bacterium 'pool 3 contig00022',0,0,0,0,6,0,0,0,0,0,0,0,0,0
,uncultured bacterium 293,0,0,5,7,10,0,0,0,6,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,0,19,5,6,15,0,0,5,0,0,0,0,0,0
,uncultured bacterium AD243-H1,0,0,0,0,0,0,0,5,5,0,0,0,0,0
,uncultured bacterium AD249-B8,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD66-C11,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00016,0,0,5,0,9,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00033,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00034,5,13,5,8,10,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00036,0,7,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00046,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00055,0,0,0,0,0,0,0,9,0,0,0,0,0,0
,uncultured bacterium contig00070,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00125,6,7,8,0,0,0,0,8,6,0,0,0,0,0
,uncultured bacterium contig00128,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00131,0,5,0,0,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00138,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00144,0,6,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00145,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00146(2014),23,40,33,13,18,6,12,11,8,9,0,0,0,9
,uncultured bacterium contig00163,0,8,0,0,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00175,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00199,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00363(2014),0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00406(2014),21,61,48,19,15,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00411(2014),19,26,31,9,18,0,0,0,11,17,0,0,0,5
,uncultured bacterium contig00510(2014),24,61,33,15,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00528,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig07432(2014),25,34,29,11,22,17,12,12,34,32,6,0,7,0
,uncultured bacterium contig08046(2014),0,17,10,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig08288(2014),5,11,10,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig08590(2014),6,10,20,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig10083(2014),9,20,25,9,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium Contig1495,0,0,0,0,0,0,0,11,17,14,0,0,0,0
,uncultured bacterium Contig1777_n_1791_cl,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,uncultured bacterium ctg7180000001435,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium FLS18,0,13,7,0,9,0,0,0,0,0,0,0,0,0
,uncultured bacterium HF0500_16O16,0,6,5,0,6,0,0,0,0,0,0,0,0,0
,uncultured bacterium KM3-18-F8,0,0,0,0,0,0,0,0,0,8,0,0,0,0
,uncultured bacterium KM3-69-F5,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,uncultured bacterium MedeBAC46A06,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_02F10,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_05G23,0,0,5,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_08D22,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium OMZ60_14B20,0,6,8,0,8,0,0,0,0,0,0,0,0,0
,uncultured bacterium pFosPlaG,0,5,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium URE4,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,uncultured bacterium W4-39b,40,102,79,40,119,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-15b,0,10,17,8,19,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-47b,0,28,30,8,17,0,0,0,0,0,0,0,0,0
,uncultured bacterium W5-51b,0,13,12,0,14,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws020C1,16,48,45,19,22,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws034A6,34,104,65,22,26,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws085G8,0,11,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws101A12,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws138B4,17,40,41,12,20,0,0,5,0,0,0,0,0,0
,uncultured bacterium ws156A7,0,10,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws172H5,48,116,162,67,77,0,0,0,0,0,0,0,0,5
,uncultured bacterium ws198A12,0,6,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ws643C1,17,47,31,10,9,0,0,0,0,0,0,0,0,0
,uncultured bacterium zdt-33i5,0,8,7,0,5,0,0,0,0,0,0,0,0,5
,uncultured bacterium zdt-39a1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured denitrifying bacterium,5,9,9,0,11,0,0,0,0,0,0,0,0,0
,uncultured marine bacterium,62,111,96,23,14,0,0,0,0,0,0,0,0,0
,uncultured marine bacterium 105,0,0,0,7,0,0,0,0,0,0,0,0,0,0
,uncultured marine bacterium Ant4E12,0,0,0,0,0,0,0,5,8,7,0,0,0,0
,uncultured marine bacterium HF10_25F10,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured marine bacterium MedDCM-OCT-S04-C7,0,0,6,5,0,0,0,0,0,0,0,0,0,0
,uncultured pig faeces bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,uncultured sediment bacterium,9,18,24,17,28,12,0,9,7,5,0,0,0,0
,uncultured soil bacterium,43,81,84,30,88,34,13,150,133,83,24,0,40,43
,uncultured sulfate-reducing bacterium,267,503,499,195,406,74,39,77,77,70,15,0,32,44
,FCB group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroidetes/Chlorobi group,6,26,33,12,32,13,10,20,33,22,5,0,8,11
,Bacteroidetes,88,171,194,68,196,73,39,86,98,122,33,0,128,161
,Bacteroidetes Order II. Incertae sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhodothermaceae,1,3,4,3,7,0,1,4,2,2,2,0,0,1
,Rhodothermus,0,2,1,0,1,1,0,0,1,0,0,0,0,0
,Rhodothermus marinus,115,268,244,82,352,78,42,122,149,93,20,0,30,32
,Salinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salinibacter ruber,50,136,148,64,179,57,20,80,116,62,9,0,18,23
,Bacteroidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroidales,11,23,21,14,17,1,3,24,12,15,9,0,19,36
,Bacteroidaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Bacteroides,79,89,103,48,59,60,29,39,70,58,29,0,35,33
,Bacteroides caccae,0,8,0,0,5,0,0,5,6,0,0,0,0,5
,Bacteroides cellulosilyticus,7,12,7,0,7,0,0,0,0,0,0,0,6,6
,Bacteroides dorei,0,0,0,0,5,0,0,7,12,0,0,0,5,9
,Bacteroides fragilis,42,60,60,27,48,16,7,19,33,14,5,0,6,25
,Bacteroides helcogenes,0,8,9,5,13,0,0,21,9,5,0,0,0,0
,Bacteroides heparinolyticus,10,11,15,7,9,0,0,9,10,5,0,0,0,5
,Bacteroides intestinalis,0,13,14,0,6,0,0,0,14,14,0,0,0,7
,Bacteroides ovatus,0,12,6,0,10,5,6,21,33,22,0,0,9,0
,Bacteroides salanitronis,7,19,24,6,14,6,0,20,19,26,0,0,7,10
,Bacteroides thetaiotaomicron,0,16,12,7,9,5,0,7,11,6,0,0,7,9
,Bacteroides uniformis,6,12,5,6,14,0,0,5,15,13,0,0,0,6
,Bacteroides vulgatus,0,8,5,0,5,0,0,0,0,6,0,0,0,7
,Bacteroides xylanisolvens,0,9,14,0,16,0,0,7,0,6,0,0,0,0
,Bacteroides zoogleoformans,0,12,0,0,5,0,0,9,8,5,0,0,0,0
,Barnesiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Barnesiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Barnesiella viscericola,11,26,44,17,25,6,9,15,19,16,0,0,6,9
,Odoribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Odoribacter splanchnicus,0,9,15,12,0,5,5,10,11,0,0,0,8,0
,Paludibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paludibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paludibacter propionicigenes,8,17,8,10,13,8,5,11,14,8,0,0,28,70
,Porphyromonadaceae,16,15,11,5,13,13,3,5,4,20,19,0,1,5
,Fermentimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fermentimonas caenicola,0,5,7,0,13,5,0,6,10,0,0,0,8,8
,Porphyromonas,10,14,14,6,16,9,7,21,21,24,0,0,5,11
,Porphyromonas asaccharolytica,0,0,0,0,12,0,0,0,0,7,0,0,0,0
,Porphyromonas cangingivalis,0,8,0,7,8,5,0,0,10,0,0,0,0,5
,Porphyromonas crevioricanis,0,13,7,0,0,0,0,0,6,0,0,0,0,0
,Porphyromonas gingivalis,17,17,12,10,20,7,0,6,0,6,0,0,5,0
,unclassified Porphyromonadaceae,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Prevotellaceae,8,2,2,0,5,0,2,4,3,7,1,0,3,4
,Paraprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Paraprevotella xylaniphila,0,15,14,8,6,5,0,27,8,0,0,0,0,0
,Prevotella,46,26,36,31,35,46,22,50,27,35,13,0,19,21
,Prevotella dentalis,5,21,21,11,22,6,0,8,18,10,0,0,6,7
,Prevotella denticola,5,13,11,6,16,0,0,11,19,16,0,0,0,0
,Prevotella enoeca,0,8,11,0,8,0,0,0,5,0,0,0,0,0
,Prevotella fusca,5,0,0,0,0,0,0,6,0,0,0,0,0,0
,Prevotella intermedia,8,12,9,0,17,0,0,22,5,10,0,0,6,12
,Prevotella jejuni,0,7,0,0,5,0,0,0,0,0,0,0,0,0
,Prevotella melaninogenica,0,6,11,0,5,0,0,21,0,0,0,0,0,9
,Prevotella oris,5,17,11,0,7,0,0,5,6,0,0,0,0,0
,Prevotella ruminicola,0,8,11,0,5,0,6,21,30,23,0,0,0,7
,Prevotella scopos,0,0,0,0,0,0,0,5,5,0,0,0,0,0
,unclassified Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Prevotella sp. oral taxon 299,0,0,5,0,6,0,0,0,0,0,0,0,0,0
,Rikenellaceae,2,1,7,2,0,5,4,0,0,4,1,0,3,4
,Alistipes,2,7,4,5,6,6,7,4,6,11,4,0,4,4
,Alistipes finegoldii,16,35,29,9,36,5,0,16,21,14,8,0,6,7
,Alistipes shahii,21,43,36,19,40,9,9,29,32,25,0,0,0,5
,Mucinivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mucinivorans hirudinis,0,5,0,0,14,0,0,25,31,24,0,0,6,0
,Tannerellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parabacteroides,0,0,2,0,1,0,0,0,0,1,0,0,0,1
,Parabacteroides distasonis,0,20,16,7,19,5,5,13,41,44,0,0,5,8
,Tannerella,6,2,1,0,0,6,0,0,2,3,5,0,2,4
,Tannerella forsythia,0,15,9,8,20,0,5,23,13,15,0,0,0,7
,unclassified Tannerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tannerella sp. oral taxon HOT-286,21,40,41,9,37,0,6,33,14,19,0,0,7,0
,unclassified Bacteroidales,10,5,0,2,3,1,2,1,0,8,0,0,4,0
,Candidatus Azobacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Azobacteroides pseudotrichonymphae,0,17,10,5,6,5,0,0,5,5,0,0,5,11
,unclassified Bacteroidales (miscellaneous),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bacteroidales bacterium CF,0,13,18,0,12,12,7,14,10,10,0,0,0,5
,Marinilabiliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Marinilabiliaceae,1,0,1,1,0,0,0,0,0,0,0,0,0,1
,Alkalitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alkalitalea saponilacus,13,26,31,10,14,13,8,14,32,30,5,0,20,31
,Prolixibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Draconibacterium,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,Draconibacterium orientale,36,81,73,32,40,17,9,16,20,22,6,0,268,350
,Salinivirgaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salinivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Salinivirga cyanobacteriivorans,10,17,24,7,20,5,0,9,10,12,0,0,10,20
,Chitinophagia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chitinophagaceae,3,7,3,1,3,12,2,8,2,5,8,0,3,2
,Arachidicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arachidicoccus ginsenosidivorans,6,9,13,0,12,0,0,14,13,8,0,0,0,0
,Chitinophaga,0,0,0,0,0,1,1,0,0,0,0,0,0,1
,Chitinophaga pinensis,33,82,68,25,49,17,9,26,49,26,0,0,12,34
,Filimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Filimonas lacunae,5,14,13,6,22,0,5,12,19,5,0,0,8,7
,Flavisolibacter,6,1,4,5,0,5,5,0,0,4,0,0,8,0
,Flavisolibacter ginsenosidimutans,9,36,41,21,22,0,0,8,21,13,0,0,0,9
,Flavisolibacter tropicus,5,11,10,0,19,0,0,5,25,21,0,0,0,11
,Niabella,0,1,1,1,0,7,4,0,3,7,8,0,0,3
,Niabella ginsenosidivorans,9,27,24,14,21,6,0,6,10,9,0,0,6,0
,Niabella soli,22,45,27,12,17,0,7,23,21,19,0,0,5,9
,Niastella,4,6,1,0,1,5,0,0,4,3,5,0,0,0
,Niastella koreensis,18,37,29,13,30,19,11,18,20,19,0,0,7,14
,Pseudobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pseudobacter ginsenosidimutans,14,35,32,11,23,7,7,13,20,12,0,0,5,11
,Cytophagia,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,Cytophagales,6,9,10,2,7,0,2,8,0,2,9,0,2,4
,Amoebophilaceae,0,5,3,5,5,10,2,3,7,4,0,0,3,6
,Candidatus Amoebophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Amoebophilus asiaticus,0,0,0,0,0,0,0,0,8,0,0,0,0,0
,Candidatus Cardinium,0,0,5,0,12,0,5,3,4,7,0,0,9,1
,Candidatus Cardinium hertigii,0,0,0,0,0,0,0,5,0,0,0,0,0,9
,Cardinium endosymbiont of Sogatella furcifera,0,0,0,0,5,0,0,5,5,0,0,0,0,0
,Bernardetiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardetia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardetia litoralis,5,7,11,0,14,8,6,14,18,27,0,0,9,13
,Cyclobacteriaceae,9,12,12,5,3,14,11,4,13,8,8,0,5,3
,Aquiflexum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquiflexum balticum,5,22,13,0,17,9,5,22,28,11,0,0,7,10
,Belliella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belliella baltica,0,14,11,7,7,0,0,0,0,8,0,0,0,0
,Cyclobacterium,7,2,3,0,9,7,0,0,0,7,0,0,2,1
,Cyclobacterium amurskyense,0,15,10,5,6,6,0,11,12,12,0,0,6,13
,Cyclobacterium marinum,7,31,22,10,6,0,0,8,6,9,0,0,0,10
,Echinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Echinicola vietnamensis,5,25,28,8,22,7,0,6,10,7,0,0,6,6
,Cytophagaceae,27,31,26,19,25,36,15,25,27,23,23,0,11,3
,Cytophaga,0,0,0,1,0,0,0,0,0,0,0,0,1,1
,Cytophaga hutchinsonii,0,10,21,5,5,0,0,5,6,6,0,0,7,8
,Dyadobacter,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Dyadobacter fermentans,27,43,33,14,43,0,5,18,11,9,0,0,0,11
,unclassified Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dyadobacter sp. 32,12,33,21,8,19,0,0,0,0,0,0,0,0,14
,Emticicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Emticicia oligotrophica,0,8,6,0,5,0,0,5,0,0,0,0,12,8
,Fibrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
