,,Depth (cm),,,,,,,,,,,,,
,Chloracidobacterium thermophilum,123,102,104,223,172,184,88,94,42,15,0,35,18,73
,"environmental samples <bacteria,phylum Acidobacteria>",33,25,18,50,18,28,31,19,23,8,58,8,3,12
,uncultured Acidobacteria bacterium,644,506,372,943,420,373,384,286,141,41,20,87,58,133
,uncultured Acidobacteria bacterium A11,5,0,0,6,0,0,0,0,0,0,299,0,0,0
,uncultured Acidobacteria bacterium A12,40,51,104,38,12,6,11,0,0,0,0,0,0,0
,uncultured Acidobacteria bacterium A2,7,5,20,38,6,12,7,0,0,0,23,6,0,0
,uncultured Acidobacteria bacterium A3,10,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured Acidobacteria bacterium cosmid p2H8,36,42,62,19,7,12,9,5,0,0,0,0,0,0
,uncultured Acidobacteria bacterium HF4000_26D02,18,10,18,27,5,8,5,5,0,0,14,0,0,0
,uncultured Lake Michigan sediment bacterium LMBA8,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Holophagae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Holophagaceae,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,Aquificae <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aquificae,6,0,0,4,3,0,0,3,0,0,0,1,1,0
,Aquificales,3,0,10,2,1,5,5,0,1,3,3,1,4,3
,Aquificaceae,14,7,0,15,15,15,13,9,8,6,5,7,0,13
,Aquifex,0,0,0,0,0,0,0,1,5,0,13,0,0,0
,Aquifex aeolicus,0,0,0,0,5,0,0,8,0,0,0,0,0,0
,Aquifex pyrophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <aquificales,family Aquificaceae>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aquificaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobacter thermophilus,0,0,0,5,0,0,5,10,0,0,0,0,0,0
,Hydrogenobaculum,0,0,0,0,9,0,6,6,0,0,0,0,5,0
,unclassified Hydrogenobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenobaculum sp. Y04AAS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermocrinis,0,0,0,13,16,11,15,12,8,0,0,0,0,13
,Thermocrinis albus,0,0,0,0,0,7,0,0,0,0,2,0,0,0
,Thermocrinis minervae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermocrinis ruber,0,0,0,0,6,5,0,11,0,0,0,0,0,0
,Aquificales genera incertae sedis,0,0,0,0,0,0,0,0,0,0,6,0,0,0
,Thermosulfidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thermosulfidibacter takaii,0,0,0,12,32,5,12,20,7,0,0,6,0,7
,Hydrogenothermaceae,7,2,2,6,1,3,5,4,0,1,0,1,0,3
,Persephonella,0,0,0,1,3,0,0,1,0,0,1,0,0,5
,Persephonella marina,0,7,0,14,17,6,8,19,8,0,1,0,0,0
,Sulfurihydrogenibium,2,2,0,4,2,7,9,4,0,0,9,5,0,8
,Sulfurihydrogenibium azorense,0,0,6,0,7,0,0,6,6,0,3,0,0,0
,unclassified Sulfurihydrogenibium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sulfurihydrogenibium sp. YO3AOP1,58,29,12,14,49,34,26,32,17,7,0,15,0,11
,Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,9,0,0,0
,Desulfurobacteriaceae,0,3,3,4,3,2,10,1,2,4,0,14,0,6
,Desulfurobacterium,0,0,0,0,0,0,0,0,0,0,4,0,0,0
,Desulfurobacterium thermolithotrophum,0,0,0,0,14,13,0,20,0,5,0,0,0,0
,Thermovibrio,6,0,6,0,2,0,0,1,0,0,0,0,0,1
,Thermovibrio ammonificans,0,10,7,12,22,31,21,17,11,0,2,0,0,13
,Bacteria incertae sedis,35,14,25,39,34,34,36,33,35,35,5,23,31,38
,Bacteria candidate phyla,0,0,0,0,0,0,0,0,0,0,25,0,0,0
,candidate division Kazan-3B-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division Kazan bacterium GW2011_GWA1_50_15,0,0,0,0,17,15,8,12,0,0,0,0,0,0
,candidate division NC10,0,0,0,3,1,0,0,1,0,0,0,0,0,0
,Candidatus Methylomirabilis,0,0,0,3,1,0,0,0,0,0,1,0,0,0
,Candidatus Methylomirabilis oxyfera,181,145,150,2575,370,394,256,302,196,67,1,92,29,140
,candidate division SR1,0,0,0,0,0,0,0,0,0,0,286,0,0,0
,candidate division SR1 bacterium RAAC1_SR1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division WWE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,candidate division WWE3 bacterium CSP1-7,0,0,0,6,10,6,13,12,0,0,0,0,0,0
,candidate division WWE3 bacterium RAAC2_WWE3_1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,Candidatus Aminicenantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,phylum Candidatus Aminicenantes>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Aminicenantes bacterium,0,0,0,5,80,48,62,45,14,12,0,15,15,30
,Candidatus Atribacteria,0,0,0,0,0,0,0,0,0,0,12,0,0,0
,"environmental samples <bacteria,phylum Candidatus Atribacteria>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Candidatus Atribacteria bacterium,0,0,0,6,18,36,123,554,10,0,0,23,9,42
,Candidatus Berkelbacteria,0,0,0,0,1,0,0,0,0,0,109,0,0,0
,Berkelbacteria bacterium GW2011_GWA2_35_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Berkelbacteria bacterium GW2011_GWE1_39_12,0,0,5,0,23,0,0,8,0,0,0,7,0,7
,Candidatus Bipolaricaulota,22,16,17,47,42,54,43,36,23,6,0,10,5,22
,Candidatus Acetothermum,0,0,0,0,0,0,0,0,0,0,17,0,0,0
,Candidatus Acetothermum autotrophicum,18,8,13,44,37,37,11,18,9,0,0,0,0,5
,"environmental samples <bacteria,phylum Candidatus Bipolaricaulota>",0,0,0,0,0,0,0,0,0,0,14,0,0,0
,uncultured Acetothermia bacterium,0,0,0,8,0,0,0,0,0,0,0,0,0,0
,Candidatus Calescamantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,KB1 group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,clade KB1 group>",0,0,0,0,2,9,0,0,0,0,0,5,0,0
,uncultured KB1 group bacterium Medee_0002,0,0,0,0,15,12,28,26,8,0,0,0,0,14
,uncultured KB1 group bacterium Medee_0003,0,0,0,0,5,0,0,12,0,0,0,0,0,0
,Candidatus Dependentiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babeliae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babeliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babeliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babela,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Babela massiliensis,0,5,0,17,36,27,61,74,52,29,0,48,0,16
,unclassified Candidatus Dependentiae,0,0,0,0,0,0,0,0,0,0,9,0,0,0
,candidate division TM6 bacterium GW2011_GWF2_28_16,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Candidatus Dojkabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,clade Candidatus Dojkabacteria>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium pTW2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria,15,10,11,14,21,16,28,19,0,13,0,5,0,0
,Candidatus Saccharibacteria oral taxon TM7x,11,0,0,0,0,0,0,0,0,0,8,0,0,0
,Candidatus Saccharimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharimonas aalborgensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Saccharibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17,0,5,0,0,0,0,13,5,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium oral taxon 488,0,6,0,0,0,5,10,0,0,0,0,0,0,0
,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,0,0,0,0,7,0,8,0,0,0,0,0,0,0
,Patescibacteria group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Candidatus Gracilibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Gracilibacteria bacterium HOT-871,0,0,0,0,0,0,0,0,6,0,0,0,0,0
,Microgenomates group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Beckwithbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,0,6,0,5,17,17,6,9,5,0,0,0,0,0
,Candidatus Microgenomates,0,0,0,0,3,2,2,2,0,0,5,0,0,0
,unclassified Microgenomates,0,5,6,1,10,8,8,9,11,5,0,8,0,5
,Candidatus Woesebacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,0,0,0,6,8,7,7,7,0,0,0,0,0,0
,unclassified Microgenomates group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"environmental samples <bacteria,unclassified Microgenomates group>",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Microgenomates group bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcubacteria group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Campbellbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Campbellbacteria bacterium GW2011_OD1_34_28,0,0,0,7,5,0,5,0,0,0,0,0,0,0
,Candidatus Parcubacteria,0,0,0,0,8,1,0,0,0,0,0,0,0,0
,unclassified Parcubacteria,7,5,0,19,17,16,11,18,5,0,0,0,0,0
,Candidatus Wolfebacteria,0,0,0,0,0,0,0,0,0,0,9,0,0,0
,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1,0,7,0,5,8,6,5,9,0,0,0,0,0,0
,Caldiserica/Cryosericota group,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldiserica,0,0,0,5,0,0,0,7,0,0,0,0,0,4
,Caldisericia,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Caldisericales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldisericum,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,Caldisericum exile,6,6,5,11,16,21,19,47,9,0,0,0,0,25
,"environmental samples <bacteria,phylum Caldiserica>",0,0,0,0,0,0,0,1,0,0,11,0,0,0
,uncultured Caldiserica bacterium,0,0,0,0,0,0,0,8,0,0,0,0,0,0
,Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calditrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caldithrix,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Caldithrix abyssi,47,31,9,93,90,115,67,87,43,12,2,17,0,34
,Chrysiogenetes <phylum>,0,0,0,0,0,0,0,0,0,0,21,0,0,0
,Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysiogenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Desulfurispirillum indicum,27,33,48,59,82,79,46,45,39,8,0,21,0,20
,Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,22,0,0,0
,Coprothermobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coprothermobacter proteolyticus,0,6,0,6,13,14,6,5,8,0,0,0,0,0
,Deferribacteres <phylum>,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacteres,0,0,1,2,3,2,1,4,0,0,0,0,0,1
,Deferribacterales,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Deferribacteraceae,19,6,16,10,2,11,9,11,1,4,0,7,7,11
,Calditerrivibrio,0,0,0,0,0,0,0,0,0,0,16,0,0,0
,Calditerrivibrio nitroreducens,106,39,19,36,28,14,10,14,6,0,0,5,0,0
,Deferribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Deferribacter desulfuricans,0,0,0,6,27,20,22,17,10,0,0,6,0,22
,Denitrovibrio,0,0,0,0,0,0,0,0,0,0,7,0,0,0
,Denitrovibrio acetiphilus,8,0,0,7,19,15,18,15,6,0,0,0,0,10
,Flexistipes,0,0,0,0,0,0,0,0,0,0,9,0,0,0
,Flexistipes sinusarabici,0,0,6,5,26,10,14,7,9,5,0,0,0,7
,Geovibrio,0,0,0,0,0,0,0,0,0,0,7,0,0,0
,Geovibrio thiophilus,8,7,0,16,29,36,21,19,13,8,0,6,0,7
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0,0,0,0,0,0,0,13,0,0,0
,uncultured Deferribacteres bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomi,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Dictyoglomia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dictyoglomus,19,0,0,25,36,23,19,14,6,0,0,1,5,9
,Dictyoglomus thermophilum,0,0,0,0,0,5,7,0,0,0,5,0,0,0
,Dictyoglomus turgidum,0,0,0,0,13,0,0,16,5,0,0,5,0,0
,Elusimicrobia,0,8,0,10,13,14,12,21,8,0,0,0,0,19
,Elusimicrobia <class>,0,0,0,2,0,0,0,0,0,0,8,0,0,0
,Elusimicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Elusimicrobium,0,0,0,1,0,0,0,1,0,0,0,0,0,0
,Elusimicrobium minutum,0,0,0,9,7,13,5,13,0,0,0,0,0,0
,"environmental samples <bacteria,superkingdom Bacteria>",1072,718,956,1318,1150,1028,806,829,605,256,0,304,160,477
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,0,7,5,0,0,0,0,0,0,854,0,0,0
,bacterium enrichment culture,23,24,10,15,23,0,0,0,9,0,0,0,0,14
,bacterium enrichment culture clone fosmid MGS-K1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,bacterium enrichment culture DGGE band aps6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium,5478,4852,4526,8007,7785,4790,4384,5079,4272,1149,0,1541,763,2369
,uncultured bacterium 'To-T 020 P12',10,7,0,9,0,0,0,0,0,0,4419,0,0,0
,uncultured bacterium 1062,0,0,0,0,0,0,22,0,0,0,0,0,0,0
,uncultured bacterium 1116,5,0,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 126,0,0,0,7,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 12AC_lac13,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 148,0,0,23,8,26,6,8,0,0,0,0,0,0,0
,uncultured bacterium 182_10_L09,0,0,0,0,0,0,0,0,0,5,0,0,0,0
,uncultured bacterium 183_12_O16,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_24_C18,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_26_G23,0,0,0,0,13,0,0,0,0,0,0,0,0,0
,uncultured bacterium 183_29_M04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 213,20,13,26,19,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 2303,0,10,0,0,0,0,0,0,7,0,0,0,0,0
,uncultured bacterium 246,0,8,0,17,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium 259,8,9,14,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 270,16,10,5,14,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 293,89,81,55,68,33,22,20,5,0,0,0,0,0,0
,uncultured bacterium 35A20,0,0,0,0,0,0,0,0,0,0,27,0,0,0
,uncultured bacterium 59,14,5,8,8,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 66,0,8,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 70,14,23,13,7,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium 8,9,0,5,0,14,0,0,6,0,0,0,0,0,0
,uncultured bacterium 888,28,30,19,35,7,0,0,10,7,0,5,5,0,0
,uncultured bacterium 92,5,6,5,0,0,0,0,0,0,0,25,0,0,0
,uncultured bacterium 98,23,20,18,23,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_160,0,0,0,0,0,0,0,0,0,0,8,0,0,0
,uncultured bacterium A1Q1_fos_18,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,35,51,79,23,8,36,30,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2067,0,0,0,0,0,0,7,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_2286,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_499,0,5,0,0,0,6,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_515,5,6,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_517,5,12,16,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_550,0,0,0,0,7,0,0,5,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_560,5,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium A1Q1_fos_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD106-G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium AD243-H1,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ad_125_D08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium Ak20-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC08_C_07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium ARCTIC47_D_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC-L1N9,0,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC10-10,25,19,13,6,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BAC10-4,29,20,13,52,5,0,0,0,0,0,8,0,0,0
,uncultured bacterium Bio7,0,0,0,0,0,0,13,0,0,0,0,0,0,0
,uncultured bacterium BLR8,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium BLR9,0,0,0,9,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00001,0,5,0,6,7,0,0,0,6,0,0,0,0,0
,uncultured bacterium contig00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00003,5,7,5,6,10,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00004,5,15,7,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00005,0,10,0,23,0,9,0,0,0,0,0,0,0,0
,uncultured bacterium contig00012,8,11,8,37,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00016,13,16,6,5,7,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00017,0,0,0,0,0,0,0,0,8,0,5,0,0,0
,uncultured bacterium contig00020,148,137,90,98,0,0,0,5,8,0,0,0,0,0
,uncultured bacterium contig00023,11,0,0,0,0,0,0,0,0,0,46,0,0,0
,uncultured bacterium contig00025,0,6,0,6,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00026,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00027,5,0,0,5,5,0,0,0,0,0,6,0,0,0
,uncultured bacterium contig00030,0,9,17,17,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00031,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00032,13,8,0,18,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00033,0,9,0,22,7,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00034,6,7,6,28,10,8,0,0,7,0,0,5,0,0
,uncultured bacterium contig00035,75,50,64,32,10,6,0,0,0,0,0,0,0,5
,uncultured bacterium contig00036,0,0,0,0,0,0,0,0,0,0,25,0,0,0
,uncultured bacterium contig00038,13,12,13,9,5,6,5,0,0,0,0,0,0,0
,uncultured bacterium contig00039,0,7,11,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00043,31,23,38,74,0,9,0,12,0,0,0,0,0,0
,uncultured bacterium contig00044,31,22,21,9,10,13,0,0,5,0,5,0,0,20
,uncultured bacterium contig00046,5,6,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00047,37,42,46,27,0,5,0,0,5,0,5,0,0,0
,uncultured bacterium contig00049,0,6,0,5,6,0,0,0,0,0,6,0,0,0
,uncultured bacterium contig00050,0,10,6,12,5,0,0,7,0,0,5,0,0,0
,uncultured bacterium contig00052,0,0,0,0,0,0,0,0,6,0,6,0,0,0
,uncultured bacterium contig00055,5,14,0,0,20,5,16,17,16,11,0,9,0,5
,uncultured bacterium contig00066,0,0,0,0,0,0,0,0,0,0,5,0,0,0
,uncultured bacterium contig00068,46,53,60,40,0,5,6,0,0,0,0,0,0,0
,uncultured bacterium contig00071,0,0,0,0,9,6,0,0,0,0,18,0,0,0
,uncultured bacterium contig00079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00086,6,7,18,11,6,0,0,0,5,0,0,0,0,0
,uncultured bacterium contig00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00094,0,6,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00095,0,0,0,0,0,0,0,5,0,0,0,0,0,0
,uncultured bacterium contig00096,0,0,7,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00100,16,16,11,13,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00105,0,0,5,0,9,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00106,0,0,5,6,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00107,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00114,5,0,11,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00120,0,0,0,7,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00121,5,6,5,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00124,0,6,6,0,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00125,13,14,6,29,14,27,14,15,27,0,0,13,5,0
,uncultured bacterium contig00128,11,5,0,0,0,0,0,0,0,0,6,0,0,0
,uncultured bacterium contig00131,5,9,13,0,11,5,0,0,12,0,0,0,0,0
,uncultured bacterium contig00138,0,6,0,19,9,11,12,5,7,0,0,0,0,0
,uncultured bacterium contig00141,12,14,16,9,8,13,0,0,6,0,0,5,0,0
,uncultured bacterium contig00145,8,5,0,18,6,0,0,5,0,0,0,0,0,0
,uncultured bacterium contig00146(2014),0,0,0,0,0,7,5,5,6,0,0,0,0,0
,uncultured bacterium contig00147,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00148,0,0,0,0,0,10,0,0,0,0,0,0,0,0
,uncultured bacterium contig00151,0,0,0,6,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00155,0,0,0,0,0,5,0,0,0,0,0,0,0,0
,uncultured bacterium contig00156,5,0,0,5,0,0,0,0,0,0,0,0,0,0
,uncultured bacterium contig00163,0,7,0,9,5,5,0,0,0,0,0,0,0,0
