,,Depth (cm),,,
,Calditerrivibrio nitroreducens,11,5,13,5
,Deferribacter,0,0,0,0
,Deferribacter desulfuricans,0,9,11,0
,Denitrovibrio,0,0,0,0
,Denitrovibrio acetiphilus,0,0,8,0
,Flexistipes,0,0,0,0
,Flexistipes sinusarabici,0,6,6,0
,Geovibrio,0,0,0,0
,Geovibrio thiophilus,6,9,19,0
,"environmental samples <bacteria,class Deferribacteres>",0,0,0,0
,uncultured Deferribacteres bacterium,0,0,0,0
,Dictyoglomi,0,0,0,0
,Dictyoglomia,0,0,0,0
,Dictyoglomales,0,0,0,0
,Dictyoglomaceae,0,0,0,0
,Dictyoglomus,8,10,12,2
,Dictyoglomus thermophilum,0,0,0,0
,Dictyoglomus turgidum,0,0,10,5
,Elusimicrobia,0,6,18,0
,Elusimicrobia <class>,0,0,1,0
,Elusimicrobiales,0,0,0,0
,Elusimicrobiaceae,0,0,0,0
,Elusimicrobium,0,0,0,0
,Elusimicrobium minutum,0,0,8,0
,"environmental samples <bacteria,superkingdom Bacteria>",729,336,492,275
,Aplysina aerophoba bacterial symbiont clone AANRPS,0,0,0,0
,bacterium enrichment culture,0,5,0,0
,bacterium enrichment culture clone fosmid MGS-K1,0,0,7,0
,bacterium enrichment culture DGGE band aps6,0,0,0,0
,uncultured bacterium,3925,3536,2878,1505
,uncultured bacterium 'To-T 020 P12',0,0,0,0
,uncultured bacterium 1062,0,0,0,0
,uncultured bacterium 1116,0,0,0,0
,uncultured bacterium 126,0,0,0,0
,uncultured bacterium 12AC_lac13,0,0,0,0
,uncultured bacterium 148,6,0,0,0
,uncultured bacterium 182_10_L09,0,0,0,0
,uncultured bacterium 183_12_O16,0,0,0,0
,uncultured bacterium 183_24_C18,0,0,0,0
,uncultured bacterium 183_26_G23,5,0,0,0
,uncultured bacterium 183_29_M04,0,0,0,0
,uncultured bacterium 213,0,0,0,0
,uncultured bacterium 2303,0,0,0,0
,uncultured bacterium 246,0,0,0,0
,uncultured bacterium 259,0,0,0,0
,uncultured bacterium 270,0,0,0,0
,uncultured bacterium 293,28,0,0,0
,uncultured bacterium 35A20,0,0,0,0
,uncultured bacterium 59,0,0,0,0
,uncultured bacterium 66,0,0,0,0
,uncultured bacterium 70,0,0,0,0
,uncultured bacterium 8,0,0,0,0
,uncultured bacterium 888,6,0,0,0
,uncultured bacterium 92,0,0,0,0
,uncultured bacterium 98,0,0,0,0
,uncultured bacterium A1Q1_fos_160,0,0,0,0
,uncultured bacterium A1Q1_fos_18,0,0,0,0
,uncultured bacterium A1Q1_fos_1807,0,0,0,0
,uncultured bacterium A1Q1_fos_1870,0,0,0,0
,uncultured bacterium A1Q1_fos_2037,0,0,0,0
,uncultured bacterium A1Q1_fos_2067,0,0,0,0
,uncultured bacterium A1Q1_fos_2286,0,0,0,0
,uncultured bacterium A1Q1_fos_499,0,0,0,0
,uncultured bacterium A1Q1_fos_515,0,0,0,0
,uncultured bacterium A1Q1_fos_517,0,0,0,0
,uncultured bacterium A1Q1_fos_550,25,5,0,0
,uncultured bacterium A1Q1_fos_560,0,0,0,0
,uncultured bacterium A1Q1_fos_75,0,0,0,0
,uncultured bacterium AD106-G5,0,0,0,0
,uncultured bacterium AD243-H1,0,0,0,0
,uncultured bacterium Ad_125_D08,0,0,0,0
,uncultured bacterium Ak20-3,0,0,0,0
,uncultured bacterium ARCTIC08_C_07,0,0,0,0
,uncultured bacterium ARCTIC47_D_06,0,0,0,0
,uncultured bacterium BAC-L1N9,6,0,0,0
,uncultured bacterium BAC10-10,5,0,0,0
,uncultured bacterium BAC10-4,23,0,0,0
,uncultured bacterium Bio7,0,0,0,0
,uncultured bacterium BLR8,0,0,0,0
,uncultured bacterium BLR9,0,0,0,0
,uncultured bacterium contig00001,0,0,0,0
,uncultured bacterium contig00002,0,0,0,0
,uncultured bacterium contig00003,5,5,0,0
,uncultured bacterium contig00004,0,0,0,0
,uncultured bacterium contig00005,0,0,0,0
,uncultured bacterium contig00012,5,0,0,0
,uncultured bacterium contig00016,0,0,0,0
,uncultured bacterium contig00017,0,0,0,0
,uncultured bacterium contig00020,27,0,0,0
,uncultured bacterium contig00023,0,0,0,0
,uncultured bacterium contig00025,0,0,0,0
,uncultured bacterium contig00026,0,0,0,0
,uncultured bacterium contig00027,0,0,0,0
,uncultured bacterium contig00030,0,0,0,0
,uncultured bacterium contig00031,0,0,0,0
,uncultured bacterium contig00032,6,0,0,0
,uncultured bacterium contig00033,0,0,0,0
,uncultured bacterium contig00034,0,0,0,0
,uncultured bacterium contig00035,16,0,0,0
,uncultured bacterium contig00036,0,0,0,0
,uncultured bacterium contig00038,0,0,0,0
,uncultured bacterium contig00039,0,0,0,0
,uncultured bacterium contig00043,22,0,0,0
,uncultured bacterium contig00044,0,0,0,0
,uncultured bacterium contig00046,0,0,0,0
,uncultured bacterium contig00047,0,0,0,0
,uncultured bacterium contig00049,0,0,0,0
,uncultured bacterium contig00050,0,0,0,0
,uncultured bacterium contig00052,0,0,0,0
,uncultured bacterium contig00055,0,0,0,9
,uncultured bacterium contig00066,0,0,0,0
,uncultured bacterium contig00068,0,0,0,0
,uncultured bacterium contig00071,0,0,0,0
,uncultured bacterium contig00079,0,0,0,0
,uncultured bacterium contig00080,0,0,0,0
,uncultured bacterium contig00083,0,0,0,0
,uncultured bacterium contig00086,0,0,0,0
,uncultured bacterium contig00088,0,0,0,0
,uncultured bacterium contig00094,0,0,0,0
,uncultured bacterium contig00095,0,0,0,0
,uncultured bacterium contig00096,0,0,0,0
,uncultured bacterium contig00100,0,0,0,0
,uncultured bacterium contig00105,0,0,0,0
,uncultured bacterium contig00106,0,0,0,0
,uncultured bacterium contig00107,0,0,0,0
,uncultured bacterium contig00114,0,0,0,0
,uncultured bacterium contig00120,0,0,0,0
,uncultured bacterium contig00121,0,0,0,0
,uncultured bacterium contig00124,0,0,0,0
,uncultured bacterium contig00125,11,0,7,18
,uncultured bacterium contig00128,0,0,0,0
,uncultured bacterium contig00131,0,0,0,0
,uncultured bacterium contig00138,5,0,0,0
,uncultured bacterium contig00141,5,0,0,0
,uncultured bacterium contig00145,0,0,0,0
,uncultured bacterium contig00146(2014),0,0,0,0
,uncultured bacterium contig00147,0,0,0,0
,uncultured bacterium contig00148,0,0,0,0
,uncultured bacterium contig00151,0,0,0,0
,uncultured bacterium contig00155,0,0,0,0
,uncultured bacterium contig00156,0,0,0,0
,uncultured bacterium contig00163,0,0,0,0
,uncultured bacterium contig00167,0,0,0,0
,uncultured bacterium contig00170,0,0,0,0
,uncultured bacterium contig00172,0,0,0,0
,uncultured bacterium contig00174,0,0,0,0
,uncultured bacterium contig00175,0,0,0,0
,uncultured bacterium contig00179,0,0,0,0
,uncultured bacterium contig00180,0,0,0,0
,uncultured bacterium contig00182,0,0,0,0
,uncultured bacterium contig00187,0,0,0,0
,uncultured bacterium contig00189,0,0,0,0
,uncultured bacterium contig00199,0,0,0,0
,uncultured bacterium contig00203,0,0,0,0
,uncultured bacterium contig00216,0,0,0,0
,uncultured bacterium contig00219,0,0,0,0
,uncultured bacterium contig00228,0,0,0,0
,uncultured bacterium contig00229,0,0,0,0
,uncultured bacterium contig00250,0,0,0,0
,uncultured bacterium contig00286,0,0,0,0
,uncultured bacterium contig00306,0,0,0,0
,uncultured bacterium contig00311,0,0,0,0
,uncultured bacterium contig00326,0,0,0,0
,uncultured bacterium contig00351,0,0,0,0
,uncultured bacterium contig00388,0,0,0,0
,uncultured bacterium contig00396,0,0,0,0
,uncultured bacterium contig00405,0,0,0,0
,uncultured bacterium contig00411(2014),0,0,0,0
,uncultured bacterium contig00449,0,0,0,0
,uncultured bacterium contig00510(2014),0,0,0,0
,uncultured bacterium contig00528,0,0,0,0
,uncultured bacterium contig07432(2014),0,0,12,0
,uncultured bacterium contig10083(2014),0,0,0,0
,uncultured bacterium Contig140,0,0,0,0
,uncultured bacterium Contig1480,0,0,0,0
,uncultured bacterium Contig1514,0,0,0,0
,uncultured bacterium Contig9,0,0,0,0
,uncultured bacterium Contigcl_1774,0,0,0,0
,uncultured bacterium CSL12,6,0,0,0
,uncultured bacterium CSL142,0,0,0,0
,uncultured bacterium ctg7180000000730,0,0,0,0
,uncultured bacterium ctg7180000000740,0,0,0,5
,uncultured bacterium ctg7180000000749,0,0,0,0
,uncultured bacterium ctg7180000000755,0,0,0,0
,uncultured bacterium ctg7180000000774,0,0,0,0
,uncultured bacterium ctg7180000000823,0,0,0,0
,uncultured bacterium ctg7180000000852,0,0,0,0
,uncultured bacterium ctg7180000000969,0,0,0,0
,uncultured bacterium ctg7180000001016,0,0,0,0
,uncultured bacterium ctg7180000001094,0,0,0,0
,uncultured bacterium ctg7180000001435,0,0,0,0
,uncultured bacterium ctg7180000001454,0,0,0,0
,uncultured bacterium F41-01,0,0,0,0
,uncultured bacterium F42-01,0,0,0,0
,uncultured bacterium FGYC_13M19,0,0,0,0
,uncultured bacterium FLS18,0,0,0,0
,uncultured bacterium FPPS_57A9,0,0,0,0
,uncultured bacterium HF0070_02E07,0,0,0,0
,uncultured bacterium HF0770_23K07,0,0,0,0
,uncultured bacterium HF0770_42P23,0,0,0,0
,uncultured bacterium KM3-18-F8,0,0,0,0
,uncultured bacterium KM4-9-H7,13,21,0,0
,uncultured bacterium lac111,0,0,0,0
,uncultured bacterium lac121,11,0,0,0
,uncultured bacterium lac160,0,0,0,0
,uncultured bacterium lac193,0,0,0,0
,uncultured bacterium lac82,0,0,0,0
,uncultured bacterium lac84,0,0,0,0
,uncultured bacterium OMZ60_05G23,0,0,0,0
,uncultured bacterium OMZ60_11L23,0,0,0,0
,uncultured bacterium pSY1435,0,0,0,0
,uncultured bacterium URE4,0,0,0,0
,uncultured bacterium W4-21b,0,0,0,0
,uncultured bacterium W4-39b,0,0,0,0
,uncultured bacterium W5-102b,0,0,0,0
,uncultured bacterium W5-15b,0,0,0,0
,uncultured bacterium W5-47b,0,0,0,0
,uncultured bacterium W5-51b,16,0,5,0
,uncultured bacterium W5-77b,0,0,0,0
,uncultured bacterium ws101A12,0,5,0,0
,uncultured bacterium ws138B4,0,0,0,0
,uncultured bacterium ws643C1,0,0,0,0
,uncultured bacterium zdt-14e13,0,0,0,0
,uncultured bacterium zdt-33i5,0,0,0,0
,uncultured bacterium zdt-39a1,0,0,0,0
,uncultured denitrifying bacterium,0,0,0,0
,uncultured marine bacterium,0,0,0,0
,uncultured marine bacterium Ant4E12,0,0,0,0
,uncultured marine bacterium HF10_25F10,0,0,0,0
,uncultured marine bacterium MedDCM-OCT-S05-C114,0,0,0,0
,uncultured marine bacterium PPT_M1,0,0,0,0
,uncultured marine bacterium PPT_M2,0,0,0,0
,uncultured nitrogen-fixing bacterium,0,0,0,0
,uncultured rumen bacterium,0,0,0,0
,uncultured sediment bacterium,0,0,0,0
,uncultured soil bacterium,78,32,71,81
,uncultured sulfate-reducing bacterium,48,29,59,18
,unidentified bacterium SM-A15,0,0,0,0
,FCB group,0,0,0,0
,Bacteroidetes/Chlorobi group,24,19,30,6
,Bacteroidetes,130,116,187,48
,Bacteroidetes Order II. Incertae sedis,0,0,0,0
,Rhodothermaceae,3,0,2,1
,Rhodothermus,0,0,1,0
,Rhodothermus marinus,153,45,93,55
,Salinibacter,0,0,0,0
,Salinibacter ruber,81,27,82,24
,Bacteroidia,0,0,0,0
,Bacteroidales,136,17,41,19
,Bacteroidaceae,0,0,0,0
,Bacteroides,51,48,70,40
,Bacteroides caccae,0,0,0,0
,Bacteroides cellulosilyticus,0,0,0,0
,Bacteroides dorei,0,0,0,0
,Bacteroides fragilis,8,5,20,0
,Bacteroides helcogenes,0,0,0,0
,Bacteroides heparinolyticus,0,0,5,0
,Bacteroides intestinalis,0,9,0,0
,Bacteroides ovatus,0,0,5,0
,Bacteroides salanitronis,13,7,18,0
,Bacteroides thetaiotaomicron,13,0,6,0
,Bacteroides uniformis,0,0,6,0
,Bacteroides vulgatus,0,0,0,0
,Bacteroides xylanisolvens,0,0,0,0
,Bacteroides zoogleoformans,6,6,0,0
,Bacteroidales incertae sedis,0,0,1,0
,Candidatus Azobacteroides,0,0,0,0
,Candidatus Azobacteroides pseudotrichonymphae,0,0,0,0
,Barnesiellaceae,0,0,0,0
,Barnesiella,0,0,0,0
,Barnesiella viscericola,13,10,26,0
,"environmental samples <CFB group bacteria,order Bacteroidales>",0,0,0,0
,uncultured Bacteroidales bacterium,0,0,5,0
,Odoribacteraceae,0,0,0,0
,Odoribacter,0,0,0,0
,Odoribacter splanchnicus,0,0,9,0
,Paludibacteraceae,0,0,0,0
,Paludibacter,1,0,0,0
,Paludibacter propionicigenes,33,23,15,6
,Porphyromonadaceae,14,18,11,17
,Fermentimonas,0,0,0,0
,Fermentimonas caenicola,0,0,5,0
,Porphyromonas,7,9,15,0
,Porphyromonas asaccharolytica,0,0,0,0
,Porphyromonas cangingivalis,0,0,0,0
,Porphyromonas crevioricanis,0,0,0,0
,Porphyromonas gingivalis,113,9,5,0
,Prevotellaceae,6,1,6,2
,Paraprevotella,0,0,0,0
,Paraprevotella xylaniphila,0,0,0,0
,Prevotella,336,38,41,14
,Prevotella dentalis,21,0,19,13
,Prevotella denticola,857,0,0,0
,Prevotella enoeca,17,0,5,0
,Prevotella fusca,38,5,0,0
,Prevotella intermedia,1045,9,5,0
,Prevotella jejuni,29,0,0,0
,Prevotella melaninogenica,180,6,0,0
,Prevotella nigrescens,10,0,0,0
,Prevotella oris,29,0,0,0
,Prevotella ruminicola,0,0,8,0
,Prevotella scopos,20,0,0,0
,unclassified Prevotella,0,0,0,0
,Prevotella sp. oral taxon 299,6,0,0,0
,Rikenellaceae,5,3,12,2
,Alistipes,2,6,2,7
,Alistipes finegoldii,19,0,18,5
,Alistipes shahii,29,16,19,5
,Mucinivorans,0,0,0,0
,Mucinivorans hirudinis,0,0,0,0
,Rikenella,0,0,0,0
,Rikenella microfusus,0,0,0,0
,Tannerellaceae,0,0,0,0
,Parabacteroides,0,0,0,0
,Parabacteroides distasonis,6,5,5,0
,Tannerella,8,0,5,12
,Tannerella forsythia,182,5,8,0
,unclassified Tannerella,0,0,0,0
,Tannerella sp. oral taxon HOT-286,99,8,15,0
,unclassified Bacteroidales,0,0,0,0
,Bacteroidales bacterium CF,0,10,11,0
,Marinilabiliales,0,0,0,0
,Marinifilaceae,0,0,0,0
,Marinifilum,0,0,0,0
,"environmental samples <CFB group bacteria,genus Marinifilum>",0,0,0,0
,uncultured Marinifilum sp.,0,0,0,0
,Marinilabiliaceae,0,1,1,0
,Alkalitalea,0,0,0,0
,Alkalitalea saponilacus,5,16,5,0
,Prolixibacteraceae,1,0,0,0
,Draconibacterium,0,0,0,0
,Draconibacterium orientale,6,13,17,6
,Salinivirgaceae,0,0,0,0
,Salinivirga,0,0,0,0
,Salinivirga cyanobacteriivorans,0,0,16,0
,Chitinophagia,0,0,0,0
,Chitinophagales,0,0,0,0
,Chitinophagaceae,3,5,15,17
,Arachidicoccus,0,0,0,0
,Arachidicoccus ginsenosidivorans,0,0,5,0
,Chitinophaga,0,0,0,0
,Chitinophaga pinensis,16,23,29,7
,Filimonas,0,0,0,0
,Filimonas lacunae,6,0,12,0
,Flavisolibacter,4,8,3,0
,Flavisolibacter ginsenosidimutans,14,5,12,0
,Flavisolibacter tropicus,5,6,0,0
,Niabella,9,7,10,1
,Niabella ginsenosidivorans,6,13,7,7
,Niabella soli,0,0,0,0
,Niastella,0,3,3,5
,Niastella koreensis,13,0,22,0
,Pseudobacter,0,0,0,0
,Pseudobacter ginsenosidimutans,12,6,10,0
,Cytophagia,0,1,0,1
,Cytophagales,0,13,8,10
,Amoebophilaceae,5,0,6,0
,Candidatus Amoebophilus,0,0,0,0
,Candidatus Amoebophilus asiaticus,0,0,0,0
,Candidatus Cardinium,0,0,0,0
,Candidatus Cardinium hertigii,0,0,0,0
,Cardinium endosymbiont of Encarsia pergandiella,0,0,0,0
,Cardinium endosymbiont of Sogatella furcifera,0,0,0,0
,Bernardetiaceae,0,0,0,0
,Bernardetia,0,0,0,0
,Bernardetia litoralis,0,5,0,0
,Cyclobacteriaceae,18,12,13,0
,Algoriphagus,0,0,0,0
,Algoriphagus machipongonensis,0,0,0,0
,Aquiflexum,0,0,0,0
,Aquiflexum balticum,6,0,0,0
,Belliella,0,0,0,0
,Belliella baltica,0,0,0,0
,Cyclobacterium,0,12,6,0
,Cyclobacterium amurskyense,0,0,0,0
,Cyclobacterium marinum,0,0,0,0
,Echinicola,0,0,0,0
,Echinicola vietnamensis,0,7,14,0
,Cytophagaceae,18,21,31,18
,Cytophaga,0,0,0,0
,Cytophaga hutchinsonii,0,12,0,0
,Dyadobacter,0,0,0,0
,Dyadobacter fermentans,17,7,26,19
,unclassified Dyadobacter,0,0,0,0
,Dyadobacter sp. 32,0,8,0,9
,Emticicia,5,0,0,0
,Emticicia oligotrophica,5,13,0,0
,Fibrella,0,0,0,0
,Fibrella aestuarina,24,9,25,16
,Flexibacter,0,0,0,0
,Leadbetterella,0,0,0,0
,Leadbetterella byssophila,0,0,0,0
,Runella,0,0,0,0
,Runella slithyformis,14,21,11,0
,Spirosoma,7,10,7,13
,Spirosoma aerolatum,5,7,11,0
,Spirosoma linguale,8,16,15,19
,Spirosoma montaniterrae,12,8,16,15
,Spirosoma radiotolerans,12,0,7,5
,Spirosoma rigui,14,0,12,0
,Flammeovirgaceae,10,10,11,6
,Fabibacter,0,0,0,0
,Fabibacter pacificus,0,0,5,0
,Flammeovirga,0,0,0,0
,unclassified Flammeovirga,0,0,0,0
,Flammeovirga sp. MY04,0,0,0,0
,Marivirga,0,0,0,0
,Marivirga tractuosa,0,0,5,0
,unclassified Flammeovirgaceae,0,0,0,0
,Flammeovirgaceae bacterium 311,6,5,5,0
,Hymenobacteraceae,0,0,0,0
,Hymenobacter,46,27,37,34
,Hymenobacter sedentarius,39,17,16,5
,Hymenobacter swuensis,10,18,28,5
,unclassified Hymenobacter,0,0,0,0
,Hymenobacter sp. APR13,38,22,33,13
,Hymenobacter sp. DG25A,6,7,6,0
,Hymenobacter sp. DG25B,17,8,8,5
,Hymenobacter sp. PAMC 26554,40,13,31,14
,Hymenobacter sp. PAMC 26628,45,28,25,19
,Pontibacter,6,14,3,12
,Pontibacter actiniarum,12,0,19,0
,Pontibacter akesuensis,7,14,16,0
,Pontibacter korlensis,5,0,14,0
,Rufibacter,6,16,15,1
,Rufibacter tibetensis,7,0,0,0
,unclassified Rufibacter,0,0,0,0
,Rufibacter sp. DG15C,0,0,0,0
,Rufibacter sp. DG31D,18,0,11,5
,Microscillaceae,0,0,0,0
,Microscilla,0,0,0,0
,unclassified Microscilla,0,0,0,0
,Microscilla sp. PRE1,0,0,0,0
,"environmental samples <CFB group bacteria,phylum Bacteroidetes>",0,0,0,0
,uncultured Bacteroidetes bacterium,13,5,23,0
,Flavobacteriia,6,3,7,2
,"environmental samples <CFB group bacteria,class Flavobacteriia>",0,0,0,0
,uncultured Flavobacteriia bacterium,0,0,0,0
,Flavobacteriales,10,13,11,6
,Blattabacteriaceae,0,0,0,0
,Blattabacterium,5,0,14,6
,Blattabacterium cuenoti,0,0,0,0
,Blattabacterium punctulatus,0,0,0,0
,unclassified Blattabacterium,0,0,0,0
,Blattabacterium sp. (Blaberus giganteus),0,0,0,0
,Blattabacterium sp. (Mastotermes darwiniensis),0,0,0,0
